Section No.,Level,Section,Page No.
18.1,2,OPERATION OF DISTRIBUTED CONTROL ALGORITHMS,735
18.2,2,Correctness of Distributed Control Algorithms,738
18.3,2,Distributed Mutual Exclusion,739
18.4,2,Distributed Deadlock Handling,744
18.5,2,Distributed Scheduling Algorithms,749
18.6,2,Distributed Termination Detection,753
18.7,2,Election Algorithms,756
18.8,2,Practical Issues in Using Distributed Control Algorithms,757
18.9,2,Summary,760
19,1,Recovery and Fault Tolerance,764
19.1,2,"Faults, Failures, and Recovery",764
19.2,2,Byzantine Faults and Agreement Protocols,768
19.3,2,Recovery,769
19.4,2,Fault Tolerance Techniques,771
19.5,2,Resiliency,775
19.6,2,Summary,777
20,1,Distributed File Systems,781
20.1,2,Design Issues in Distributed File Systems,781
20.2,2,Transparency,784
20.3,2,Semantics of File Sharing,785
20.4,2,Fault Tolerance,786
20.5,2,DFS Performance,791
20.6,2,Case Studies,795
20.7,2,Summary,802
21,1,Distributed System Security,806
21.1,2,Issues in Distributed System Security,806
21.2,2,Message Security,809
21.3,2,Authentication of Data and Messages,816
21.4,2,Third-Party Authentication,818
21.5,2,Summary,824
