Questions,Manual Label,NSQ,LDA,LSA,Cognitive
Explain the difference between a simple memory card and a smart card.,1,0.483291486275,0.353722543802,0.598649,1
List and briefly describe the principal physical characteristics used for biometric identification.,0,0.659565429368,0.484904231726,0.432744,0
Briefly describe the difference between DAC and RBAC.,0,0.676699410488,0.484904231726,0.500347,0
Explain the difference between anomaly intrusion detection and signature intrusion detection.,0,0.596534499769,0.484904231726,0.739929,0
What is a digital immune system?,0,0.556672329812,0.484904231726,0.578477,0
How does behavior-blocking software work?,7,0.552609673539,0.484904231726,0.566719,1
Describe some worm countermeasures.,0,0.503896278232,0.409544552998,0.748628,0
What types of programming languages are vulnerable to buffer overflows?,7,0.806302944869,0.448399627289,0.50045,1
What are the two broad categories of defenses against buffer overflows?,0,0.575746269914,0.484904231726,0.507168,0
List and briefly describe some of the defenses against buffer overflows that can be used when compiling new programs.,0,0.510362225436,0.484904231726,0.487273,0
"List and briefly describe some of the defenses against buffer overflows that can be implemented when running existing, vulnerable programs.",0,0.402893312466,0.484904231726,0.481276,0
What is client/server computing?,0,0.963314141693,0.80610629307,0.913358,0
What distinguishes client/server computing from any other form of distributed data processing?,7,0.811698416374,0.45857606603,0.890351,1
What is the role of a communications architecture such as TCP/IP in a client/server environment?,7,0.83365215532,0.552854329776,0.787051,1
"Discuss the rationale for locating applications on the client, the server, or split between client and server.",10,0.502971313974,0.522325879957,0.766245,4
"What are fat clients and thin clients, and what are the differences in philosophy of the two approaches?",6,0.803460116927,0.206430081834,0.506844,0
Suggest pros and cons for fat client and thin client strategies.,1,0.86434455111,0.342269044308,0.771401,1
Explain the rationale behind the three-tier client/server architecture.,4,0.67052555971,0.585231794144,0.874103,4
What is middleware?,0,0.523099554678,0.0,0.0,0
"Because we have standards such as TCP/IP, why is middleware needed?",1,0.786293856365,0.161980258619,0.661492,1
List some benefits and disadvantages of blocking and nonblocking primitives for message passing.,6,0.305214230355,0.57194648572,0.836397,0
List some benefits and disadvantages of nonpersistent and persistent binding for RPCs.,6,0.588748097752,0.427007191371,0.806305,0
List some benefits and disadvantages of synchronous and asynchronous RPCs.,6,0.798228208085,0.424373566563,0.739154,0
List and briefly define four different clustering methods.,0,0.676405842009,0.314082952235,0.552009,0
"Suppose the hypothetical processor of Figure 1.3 also has two I/O instructions: 0011 Load AC from I/O and 0111 Store AC to I/O. In these cases, the 12-bit address identifies a particular external device. Show the program execution for the following program",13,0.294268990179,0.248239803788,0.669425,1
The program execution is described in the text using six steps. Expand this description to show the use of the MAR and MBR.,13,0.959278451742,0.362418988809,0.593137,1
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. The first byte contains the opcode and the remainder an immediate operand or an operand address. What is the maximum directly addressable memory capacity (in bytes)?,9,0.947364815243,0.694544161353,0.613033,3
"Discuss the impact on the system speed if the microprocessor bus has - 1. a 32-bit local address bus and a 16-bit local data bus, or 2. a 16-bit local address bus and a 16-bit local data bus.",9,0.994395378498,0.621851383786,0.491587,3
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. How many bits are needed for the program counter and the instruction register?,8,0.92931191365,1.0,0.712706,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What is the maximum memory address space that the processor can access directly if it is connected to a “16-bit memory”?,8,0.908707695676,0.771063413707,0.465993,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What is the maximum memory address space that the processor can access directly if it is connected to an “8-bit memory”?,8,0.908707695676,0.776157501939,0.465993,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What architectural features will allow this microprocessor to access a separate “I/O space”?,8,0.977203217548,1.0,0.580644,2
"Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. If an input and an output instruction can specify an 8-bit I/O port number, how many 8-bit I/O ports can the microprocessor support? How many 16-bit I/O ports? Explain.",8,0.979740874458,0.690560828499,0.572699,2
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. What is the maximum data transfer rate across the bus that this microprocessor can sustain in bytes/s?",8,0.995789648371,1.0,0.574139,2
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. To increase its performance, would it be better to make its external data bus 32 bits or to double the external clock frequency supplied to the microprocessor?",10,0.961203012521,1.0,0.521338,4
"Consider a computer system that contains an I/O module controlling a simple keyboard/printer Teletype. The following registers are contained in the CPU and connected directly to the system bus: Input Register(8), Output Register(8), Input Flag(1), Output Flag(1), and Interrupt Enable(1). The Teletype is able to encode an alphanumeric symbol to an 8-bit word and decode an 8-bit word into an alphanumeric symbol. The Input flag is set when an 8-bit word enters the input register from the Teletype. The Output flag is set when a word is printed. Describe how the CPU, using the first four registers listed in this problem, can achieve I/O with the Teletype. Describe how the function can be performed more efficiently by also employing IEN.",17,0.998051059559,0.987439998937,0.517393,5
"In virtually all systems that include DMA modules, DMA access to main memory is given higher priority than processor access to main memory. Why?",9,0.525284574602,0.266148981137,0.766851,3
A DMA module is transferring characters to main memory from an external device transmitting at 9600 bits per second (bps). The processor can fetch instructions at the rate of 1 million instructions per second. By how much will the processor be slowed down due to the DMA activity?,8,0.81806017917,0.529402205203,0.8715,2
"A computer consists of a CPU and an I/O device D connected to main memory M via a shared bus with a data bus width of one word. The CPU can execute a maximum of 106 instructions per second. An average instruction requires five processor cycles, three of which use the memory bus. A memory read or write operation uses one processor cycle. Suppose that the CPU is continuously executing “background” programs that require 95% of its instruction execution rate but not any I/O instructions. Assume that one processor cycle equals one bus cycle. Now suppose that very large blocks of data are to be transferred between M and D. a. If programmed I/O is used and each one-word I/O transfer requires the CPU to execute two instructions, estimate the maximum I/O data transfer rate, in words per second, possible through D. b. Estimate the same rate if DMA transfer is used.",8,0.847857028653,0.329663963301,0.645683,2
Consider the following code <CODE> a. Give one example of the spatial locality in the code. b. Give one example of the temporal locality in the code.,7,0.985874617747,0.662851003885,0.778415,1
"Consider a memory system with the following parameters: Tc   100 ns Cc   0.01 cents/bit Tm   1,200 ns Cm   0.001 cents/bit a. What is the cost of 1 MByte of main memory? b. What is the cost of 1 MByte of main memory using cache memory technology?",2,0.986049998024,1.0,0.620668,2
"Consider a memory system with the following parameters: Tc   100 ns Cc   0.01 cents/bit Tm   1,200 ns Cm   0.001 cents/bit. If the effective access time is 10% greater than the cache access time, what is the hit ratio H?",8,0.9856740049,1.0,0.814717,2
"A computer has a cache, main memory, and a disk used for virtual memory. If a referenced word is in the cache, 20 ns are required to access it. If it is in main memory but not in the cache, 60 ns are needed to load it into the cache (this includes the time to originally check the cache), and then the reference is started again. If the word is not in main memory, 12 ms are required to fetch the word from disk, followed by 60 ns to copy it to the cache, and then the reference is started again. The cache hit ratio is 0.9 and the main-memory hit ratio is 0.6. What is the average time in ns required to access a referenced word on this system?",8,0.744335233279,0.40943893766,0.731463,2
Suppose a stack is to be used by the processor to manage procedure calls and returns. Can the program counter be eliminated by using the top of the stack as a program counter?,9,0.816088642496,0.515960771152,0.455817,3
"Suppose that we have a multiprogrammed computer in which each job has identical characteristics. In one computation period, T, for a job, half the time is spent in I/O and the other half in processor activity. Each job runs for a total of N periods. Assume that a simple round-robin scheduling is used, and that I/O operations can overlap with processor operation. Define the following quantities: • Turnaround time = actual time to complete a job • Throughput = average number of jobs completed per time period T • Processor utilization = percentage of time that the processor is active (not waiting) Compute these quantities for one, two, and four simultaneous jobs, assuming that the period T is distributed in each of the following ways: a. I/O first half, processor second half b. I/O first and fourth quarters, processor second and third quarter",14,0.878994013229,0.241800399007,0.450558,2
"An I/O-bound program is one that, if run alone, would spend more time waiting for I/O than using the processor. A processor-bound program is the opposite. Suppose a short-term scheduling algorithm favors those programs that have used little processor time in the recent past. Explain why this algorithm favors I/O-bound programs and yet does not permanently deny processor time to processor-bound programs.",10,0.746531997236,0.261722164127,0.585615,4
Contrast the scheduling policies you might use when trying to optimize a time-sharing system with those you would use to optimize a multiprogrammed batch system.,10,0.424726088536,0.341320881198,0.667913,4
"What is the purpose of system calls, and how do system calls relate to the OS and to the concept of dual-mode (kernel-mode and user-mode) operation?",7,0.985868512418,0.262419038538,0.592543,1
"In IBM’s mainframe OS, OS/390, one of the major modules in the kernel is the System Resource Manager. This module is responsible for the allocation of resources among address spaces (processes). This problem concerns one example of SRM activity. Real memory is divided into equal-sized blocks called frames, of which there may be many thousands. Each frame can hold a block of virtual memory referred to as a page. SRM receives control approximately 20 times per second and inspects each and every page frame. If the page has not been referenced or changed, a counter is incremented by 1. Over time, SRM averages these numbers to determine the average number of seconds that a page frame in the system goes untouched. What might be the purpose of this and what action might SRM take?",9,0.964858087605,0.259955485026,0.697881,3
"A multiprocessor with eight processors has 20 attached tape drives. There is a large number of jobs submitted to the system that each require a maximum of four tape drives to complete execution. Assume that each job starts running with only three tape drives for a long period before requiring the fourth tape drive for a short period toward the end of its operation. Also assume an endless supply of such jobs. Assume the scheduler in the OS will not start a job unless there are four tape drives available. When a job is started, four drives are assigned immediately and are not released until the job finishes. What is the maximum number of jobs that can be in progress at once? What are the maximum and minimum number of tape drives that may be left idle as a result of this policy?",15,0.968731081548,0.418558422455,0.555757,3
A multiprocessor with eight processors has 20 attached tape drives. There is a large number of jobs submitted to the system that each require a maximum of four tape drives to complete execution. Assume that each job starts running with only three tape drives for a long period before requiring the fourth tape drive for a short period toward the end of its operation. Also assume an endless supply of such jobs. Suggest an alternative policy to improve tape drive utilization and at the same time avoid system deadlock. What is the maximum number of jobs that can be in progress at once? What are the bounds on the number of idling tape drives?,17,0.989476358686,0.421770123255,0.574751,5
"The following state transition table is a simplified model of process management, with the labels representing transitions between states of READY, RUN, BLOCKED, and NONRESIDENT. Give an example of an event that can cause each of the above transitions. Draw a diagram if that helps.",9,0.960922253943,0.479912639689,0.82401,3
"Assume that at time 5 no system resources are being used except for the processor and memory. Now consider the following events: At time 5: P1 executes a command to read from disk unit 3. At time 15: P5’s time slice expires. At time 18: P7 executes a command to write to disk unit 3. At time 20: P3 executes a command to read from disk unit 2. At time 24: P5 executes a command to write to disk unit 3. At time 28: P5 is swapped out. At time 33: An interrupt occurs from disk unit 2: P3’s read is complete. At time 36: An interrupt occurs from disk unit 3: P1’s read is complete. At time 38: P8 terminates. At time 40: An interrupt occurs from disk unit 3: P5’s write is complete. At time 44: P5 is swapped back in. At time 48: An interrupt occurs from disk unit 3: P7’s write is complete. For each time 22, 37, and 47, identify which state each process is in. If a process is blocked, further identify the event on which is it blocked.",14,0.996036661599,0.443088411831,0.694523,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the possible transitions and give an example of what could cause each transition.",8,0.880796427129,0.452866010006,0.839814,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the impossible transitions and explain why.",8,0.896847360933,0.455770363258,0.826977,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. For the seven-state process model of Figure 3.9b, draw a queueing diagram similar to that of Figure 3.8b.",14,0.993626715354,0.420993124842,0.807938,2
"Consider the state transition diagram of Figure 3.9b. Suppose that it is time for the OS to dispatch a process and that there are processes in both the Ready state and the Ready/Suspend state, and that at least one process in the Ready/Suspend state has higher scheduling priority than any of the processes in the Ready state. Two extreme policies are as follows: (1) Always dispatch from a process in the Ready state, to minimize swapping, and (2) always give preference to the highest-priority process, even though that may mean swapping when swapping is not necessary. Suggest an intermediate policy that tries to balance the concerns of priority and performance.",17,0.556868438203,0.228497586046,0.771859,5
Table 3.13 shows the process states for the VAX/VMS operating system. Can you provide a justification for the existence of so many distinct wait states?,15,0.954929399943,0.377027072301,0.793963,3
"Table 3.13 shows the process states for the VAX/VMS operating system. Why do the following states not have resident and swapped-out versions: Page Fault Wait, Collided Page Wait, Common Event Wait, Free Page Wait, and Resource Wait?",15,0.969321463283,0.37167725519,0.748513,3
Table 3.13 shows the process states for the VAX/VMS operating system. Draw the state transition diagram and indicate the action or occurrence that causes each transition.,13,0.948728773926,0.319517250834,0.821065,1
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines • Instruction execution privileges: What instructions the processor may execute • Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: • Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations • Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines • Supervisor: Executes other OS services, such as responses to user commands • User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. A number of operating systems have two modes, kernel and user. What are the advantages and disadvantages of providing four modes instead of two?",16,0.990568406579,0.282696552367,0.653815,4
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines • Instruction execution privileges: What instructions the processor may execute • Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: • Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations • Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines • Supervisor: Executes other OS services, such as responses to user commands • User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. Can you make a case for even more than four modes?",16,0.977230637612,0.269534556312,0.646785,4
"The VMS scheme discussed in the preceding problem is often referred to as a ring protection structure, as illustrated in Figure 3.18. Indeed, the simple kernel/user scheme, as described in Section 3.3, is a two-ring structure. [SILB04] points out a problem with this approach: The main disadvantage of the ring (hierarchical) structure is that it does not allow us to enforce the need-to-know principle. In particular, if an object must be accessible in domain Dj but not accessible in domain Di, then we must have j 6 i. But this means that every segment accessible in Di is also accessible in Dj. Explain clearly what the problem is that is referred to in the preceding quote.",15,0.958530435263,0.4033043083,0.710036,3
Figure 3.8b suggests that a process can only be in one event queue at a time. Is it possible that you would want to allow a process to wait on more than one event at the same time? Provide an example.,9,0.38804263527,0.435833169797,0.838986,3
"Figure 3.8b suggests that a process can only be in one event queue at a time. In that case, how would you modify the queueing structure of the figure to support this new feature?",17,0.811831579093,0.406369299671,0.749935,5
"In a number of early computers, an interrupt caused the register values to be stored in fixed locations associated with the given interrupt signal. Under what circumstances is this a practical technique? Explain why it is inconvenient in general.",16,0.648363994888,0.426088801732,0.567688,4
"In Section 3.4, it was stated that UNIX is unsuitable for real-time applications because a process executing in kernel mode may not be preempted. Elaborate.",9,0.765061302258,0.20563468142,0.719822,3
"You have executed the following C program: <CODE> What are the possible outputs, assuming the fork succeeded?",13,0.774469863152,0.423743698232,0.512627,1
"It was pointed out that two advantages of using multiple threads within a process are that (1) less work is involved in creating a new thread within an existing process than in creating a new process, and (2) communication among threads within the same process is simplified. Is it also the case that a mode switch between two threads within the same process involves less work than a mode switch between two threads in different processes?",9,0.754404820748,0.297119370003,0.826866,3
"In the discussion of ULTs versus KLTs, it was pointed out that a disadvantage of ULTs is that when a ULT executes a system call, not only is that thread blocked, but also all of the threads within the process are blocked. Why is that so?",7,0.899757493586,0.415811420227,0.843423,1
