Questions,Manual Label,NSQ,LDA,LSA,Cognitive,Knowledge
Use the composite trapezoidal rule with n = 4 to approximate the following definite integrals. Find the truncation error of each approximation and compare it with the one given by formula (,14,0.999771974,0.503415316,0.747278,2,2
"Apply the nearest-neighbor algorithm to the instance defined by the intercity distance matrix below. Start the algorithm at the first city, assuming that the cities are numbered from 1 to ",14,0.622094921,0.273170874,0.446944,2,2
Find on the Internet or in your library a procedure for finding a real root of the general cubic equation ax3 + bx2 + cx + d = 0 with real coefficients. b. What general algorithm design technique is it based on?,15,0.141433739,0.14825118,0.494696,3,2
Indicate how many roots each of the following equations has: a. xex - 1 = 0 b. x - ln x = 0 c. x sin x - 1 = 0,14,0.560272357,0.364471063,0.631983,2,2
"Prove that if p(x) is a polynomial of an odd degree, then it must have at least one real root. b. Prove that if x0 is a root of an n-degree polynomial p(x), the polynomial can be factored into p(x) = (x - x0)q(x), where q(x) is a polynomial of degree n - 1",10,0.541635559,0.426894737,0.729982,4,1
Apply the bisection method to find the root of the equation x3 + x - 1 = 0 with an absolute error smaller than 10-,14,0.60537691,0.799152308,0.859255,2,2
"One can find arguments supporting either view. There is a well-established principle pertinent to the matter, though: scientific facts or mathematical expressions of them are not patentable. (Why do you think this is the case?) But should this preclude granting patents for all algorithms? ",22,0.226133744,0.122369892,0.433084,4,3
Try to design an algorithm that always makes less than mn comparisons.,17,0.290819607,0.599112027,0.512237,5,2
Just follow Euclid's algorithm as described in the text. b. Compare the number of divisions made by the two algorithms.,14,0.568489292,0.301954222,0.660459,2,2
"Prove that if d divides both m and n (i.e., m = sd and n = td for some positive integers s and t), then it also divides both n and r = m mod n and vice versa. Use the formula m = qn + r (0 r < n) and the fact that if d divides two integers u and v, it also divides u + v and u - v (why?). ",2,0.583722777,0.338294163,0.653493,2,0
Perform one iteration of the algorithm for two arbitrarily chosen integers m < n.,14,0.322183269,0.500118517,0.444594,2,2
"For a sorted array, there is a spectacularly efficient algorithm you almost certainly have heard about. b. Unsuccessful searches can be made faster. ",9,0.505743934,0.208397019,0.469876,3,1
Simplify the functions given to single out the terms defining their orders of growth.,14,0.703132452,0.357813128,0.705237,2,2
You can prove this assertion either by computing an appropriate limit or by applying mathematical induction. b. Compute limn a1n/a2n.,14,0.124295196,0.218736803,0.355315,2,2
"Prove the correctness of (a), (b), and (c) by using the appropriate definitions; construct a counterexample for (d) (e.g., by constructing two functions behaving differently for odd and even values of their arguments). ",9,0.438307161,0.200849602,0.640799,3,1
Follow the analysis plan used in the text when the algorithm was mentioned for the first time.,15,0.076986637,0.234475039,0.651001,3,2
Each of these recurrences can be solved by the method of backward substitutions.,14,0.998258649,0.431745857,0.49592,2,2
The question is similar to that about the efficiency of the recursive algorithm for computing n!. b. Write pseudocode for the nonrecursive algorithm and determine its efficiency.,15,0.427687385,0.331402665,0.495142,3,2
"Note that you are asked here about a recurrence for the function's values, not about a recurrence for the number of times its operation is executed. Just follow the pseudocode to set it up. It is easier to solve this recurrence by forward substitutions (see Appendix B). b. This question is very similar to one we have already discussed. c. You may want to include the subtractions needed to decrease n. ",14,0.844671863,0.148531534,0.731727,2,2
Does it return a correct comparison count for every array of size 2?,15,0.261149131,0.678909713,0.539874,3,2
Check how fast the count values grow with doubling the input size.,9,0.105557292,0.406828189,0.502089,3,1
Compare the values of the functions lg lg n and lg n for n = 2k.,2,0.711657679,0.55789209,0.824114,2,0
Insert the division counter in a program implementing the algorithm and run it for the input pairs in the range indicated.,14,0.804097735,0.645546701,0.487262,2,2
"Get the empirical data for random values of n in a range of, say, between 102 and 104 or 105 and plot the data obtained. (You may want to use different scales for the axes of your coordinate system.)",2,0.995905533,0.855938755,0.76863,2,0
Solving the problem for n = 2 and n = 3 should lead you to the critical insight. b. Where would you put the post office if it did not have to be at one of the village locations?,10,0.421222704,0.493307148,0.417868,4,1
"Check requirements (i)_(iii) by using basic properties of absolute values. b. For the Manhattan distance, the points in question are defined by the equation |x - 0| + |y - 0| = ",8,0.45004764,0.299684001,0.460782,2,1
Compare the efficiency classes of the two versions of DFS for sparse graphs.,15,0.27227971,0.125072885,0.660534,3,2
Perform the BFS traversal the same way it is done in the text,14,0.763130658,0.385311655,0.761526,2,2
What property of a BFS forest indicates a cycle's presence? (The answer is similar to the one for a DFS forest.) b. Find two examples supporting this answer.,15,0.732842366,0.432091256,0.785179,3,2
"Given the fact that both traversals can reach a new vertex if and only if it is adjacent to one of the previously visited vertices, which vertices will be visited by the time either traversal halts (i.e., its stack or queue becomes empty)? ",15,0.833005282,0.816813284,0.807823,3,2
"Use a DFS forest and a BFS forest for parts (a) and (b), respectively. ",14,0.890778815,0.359460616,0.773957,2,2
Use either DFS or BFS.,14,0.982043064,0.5,0.865974,2,2
Follow the instructions of the problem's statement. b. Trying both traversals should lead you to a correct answer very fast.,14,0.27844104,0.258915285,0.370955,2,2
You can apply BFS without an explicit sketch of a graph representing the states of the puzzle.,14,0.115948291,0.267070605,0.735345,2,2
Trace the algorithm for n = 2; take advantage of this trace in tracing the algorithm for n = 3 and then use the latter for n =,14,0.099318926,0.298933394,0.540206,2,2
Just trace the algorithms for n =,14,0.067495,1,0.36604,2,2
Represent the disk movements by flipping bits in a binary n-tuple.,21,0.766476363,0.717984401,0.503647,3,3
Trace the algorithm on the input given. You will have to use it again in order to compute the products of two-digit numbers as well.,14,0.383408117,0.376318081,0.480508,2,2
Take logarithms of both sides of the equality. b. What did we use the closed-form formula for?,8,0.350236802,0.682203559,0.31577,2,1
"How do we multiply by powers of 10? b. Try to repeat the argument for, say, 98. Counting the number of one-digit additions made by the pen-and-pencil algorithm in multiplying, say, two four-digit numbers, should help answer the general question. ",9,0.695458019,0.210765417,0.439698,3,1
Check the formulas by simple algebraic manipulations.,8,0.181593867,0.254129543,0.496315,2,1
Trace Strassen's algorithm on the input given,14,0.657034853,0.231602439,0.854516,2,2
Use the method of backward substitutions to solve the recurrence given in the text.,14,0.963704891,0.403032068,0.729671,2,2
The recurrence for the number of multiplications in Pan's algorithm is similar to that for Strassen's algorithm. Use the Master Theorem to find the order of growth of its solution.,14,0.686390335,0.288046366,0.762377,2,2
Trace the algorithm as we did in solving another system in the section.,14,0.447570714,0.5,0.702441,2,2
Use the Gaussian elimination results as explained in the text. b. It is one of the varieties of the transform-and-conquer technique. Which one?,15,0.425444143,0.186032171,0.707291,3,2
Find the inverse. You can either solve the system with three simultaneous right-hand side vectors representing the columns of the 3 x 3 identity matrix or use the LU decomposition of the system's coefficient matrix,14,0.387887747,0.33905544,0.798706,2,2
"Though the final answer is correct, its derivation contains an error you have to find. ",15,0.291453169,0.166839902,0.613253,3,2
Estimate the ratio of the algorithm running times by using the approximate formulas for the number of divisions and the number of multiplications in both algorithms.,9,0.293512245,0.359378267,0.503049,3,1
Trace the algorithm outlined in the text on the input given.,14,0.341326467,0.271653597,0.685388,2,2
"Comment on the following: For a heap represented by an array, only the parental dominance requirement needs to be checked. ",9,0.608686742,0.260982615,0.831029,3,1
What structure does a complete tree of height h with the largest number of nodes have? What about a complete tree with the smallest number of nodes? b. Use the results established in part (a).,3,0.392023402,0.258181646,0.638828,3,0
"First, express the right-hand side as a function of h. Then, prove the obtained equality by either using the formula for the sum i2i given in Appendix A or by mathematical induction on h. ",14,0.585033746,0.281954495,0.40056,2,2
Where in a heap should one look for its smallest element?,7,0.835656345,1,0.616306,1,1
Deleting an arbitrary element of a heap can be done by generalizing the algorithm for deleting its root.,17,0.20908447,0.627448806,0.375206,5,2
"Fill in a table with the time efficiency classes of efficient implementations of the three operations: finding the largest element, finding and deleting the largest element, and adding a new element. ",15,0.317881066,0.189643498,0.314033,3,2
"As a rule, sorting algorithms that can exchange far-apart elements are not stable. ",15,0.525801881,0.401831157,0.609389,3,2
Set up sums and simplify them by using the standard formulas and rules for sum manipulation. Do not forget to include the multiplications outside the inner loop.,14,0.972405694,0.713449112,0.543101,2,2
Check the algorithm's pseudocode to see what it does upon encountering equal values.,14,0.386516635,0.501556999,0.489183,2,2
Trace the algorithm on the input given,14,0.096412296,0.733466668,0.413716,2,2
Check whether the algorithm can reverse a relative ordering of equal elements.,9,0.145549474,0.436901096,0.446654,3,1
Where will A[i] be in the sorted array?,9,0.232774545,1,0.465184,3,1
Take advantage of the standard traversals of such trees.,2,0.28582794,0.338960137,0.603205,2,0
"Follow the definitions of the arrays B and C in the description of the method. b. Find, say, B[C[3]] for the example in part (a). ",3,0.191093763,0.299656361,0.499801,3,0
Start by finding the target positions for all the statures.,14,0.207757209,0.751202566,0.592427,2,2
Use linked lists to hold nonzero elements of the matrices.,8,0.243863416,0.341089211,0.662278,2,1
Represent each of the given polynomials by a linked list with nodes containing exponent i and coefficient ai for each nonzero term aixi.,14,0.363840827,0.322065594,0.47358,2,2
Trace the algorithm in the same way it is done in the section for another instance of the string-matching problem.,9,0.267575991,0.445312462,0.644653,3,1
Thinking about searching for information should lead to a variety of examples.,1,0.179788305,0.261191266,0.5485,1,0
"Use the standard rules of sum manipulation and, in particular, the geometric series formula. b. You will need to take logarithms base m/2 in your derivation. ",14,0.572344022,0.209815949,0.613249,2,2
Find this value from the inequality in the text that provides the upper-bound of the B-tree's height.,8,0.435663847,0.204568866,0.801134,2,1
Follow the insertion algorithm outlined in the section.,1,0.211278337,0.406873327,0.6681,1,0
"Just follow the description of the algorithm given in the statement of the problem. Note that a new key is always inserted in a leaf and that full nodes are always split on the way down, even though the leaf for the new key may have a room for it. b. Can a split of a full node cause a cascade of splits through the chain of its ancestors? Can we get a taller search tree than necessary?",9,0.972018795,0.663177506,0.793809,3,1
Compare the definitions of the two techniques.,1,0.220979907,0.25,0.683887,1,0
Use the table generated by the dynamic programming algorithm in solving the problem's instance in Example 1 of the section.,14,0.683779128,0.172075286,0.740515,2,2
Apply the dynamic programming algorithm to the instance given as it is done in Example 2 of the section. Note that there are two optimal coin combinations here.,14,0.838335583,0.265429847,0.612913,2,2
The algorithm's time efficiency can be investigated by following the standard plan of analyzing the time efficiency of a nonrecursive algorithm. b. How much space do the two tables generated by the algorithm use?,9,0.859607742,0.418990606,0.594411,3,1
Use a space-for-time trade-off.,2,0.547072358,0.25,0,2,0
"If the assertion were true, would we not have a simpler algorithm for constructing an optimal binary search tree? ",10,0.757148948,0.454299581,0.717918,4,1
The structure of the tree should simply minimize the average depth of its nodes. Do not forget to indicate a way to distribute the keys among the nodes of the tree.,8,0.556567148,0.365635377,0.780336,2,1
Consider all the possibilities of partitioning the nodes between the left and right subtrees. b. Compute the values in question using the two formulas. c. Use the formula for the nth Catalan number and Stirling's formula for n!. ,14,0.506353783,0.186963398,0.410277,2,2
Change the bounds of the innermost loop of algorithm OptimalBST by exploiting the monotonicity of the root table mentioned at the end of the section.,14,0.245227816,0.482142634,0.523532,2,2
"Considering the case of two jobs might help. Of course, after forming a hypothesis, you will have to prove the algorithm's optimality for an arbitrary input or find a specific counterexample showing that it is not the case. ",11,0.750882723,0.281463448,0.588304,5,1
Simply apply the greedy approach to the situation at hand. You may assume that t1 t2 . . . tn.,8,0.676976493,0.330674885,0.708854,2,1
"Trace the algorithm for the graph given. An example can be found in the text. b. After the next fringe vertex is added to the tree, add all the unseen vertices adjacent to it to the priority queue of fringe vertices. ",13,0.907717755,0.752244875,0.710196,1,2
Applying Prim's algorithm to a weighted graph that is not connected should help in answering this question.,8,0.698946662,0.300699147,0.766921,2,1
Check whether the proof of the algorithm's correctness is valid for negative edge weights.,3,0.963533276,0.209986716,0.800876,3,0
The answer is no. Give a counterexample.,4,0.212407333,0.5,0.579795,4,0
"Since Prim's algorithm needs weights on a graph's edges, some weights have to be assigned. As to the second question, think of other algorithms that can solve this problem. ",7,0.351399911,0.412501996,0.689782,1,1
"After combining the two nodes with the lowest probabilities, resolve the tie arising on the next iteration in two different ways. For each of the two Huffman codes obtained, compute the mean and variance of the codeword length. ",14,0.98285376,0.270119255,0.790973,2,2
The maximal length of a codeword relates to the height of Huffman's coding tree in an obvious fashion. Try to find a set of n specific frequencies for an alphabet of size n for which the tree has the shape yielding the longest codeword possible.,14,0.740241744,0.33438094,0.738185,2,2
"What is the most appropriate data structure for an algorithm whose principal operation is finding the two smallest elements in a given set and replacing them by their sum? b. Identify the principal operations of the algorithm, the number of times they are executed, and their efficiencies for the data structure used. ",7,0.28572913,0.327266345,0.579044,1,1
"Maintain two queues: one for given frequencies, the other for weights of new trees. ",14,0.302056889,0.334375826,0.426616,2,2
Generate the codewords right to left.,14,0.658830871,0.658016446,0.619643,2,2
See an application of this algorithm to another bipartite graph in the section.,9,0.636852544,0.463484572,0.619919,3,1
The definition of a matching and its cardinality should lead you to the answers to these questions with no difficulty.,14,0.250670318,0.136004161,0.720551,2,2
