Questions,Manual Label,NSQ,LDA,LSA,Cognitive
What is the purpose of a translation lookaside buffer?,6,0.0685093066227,1,1,0
Briefly define the alternative page fetch policies.,7,0.0434442772244,1,1,1
What is the difference between resident set management and page replacement policy?,6,0.0533295215105,1,1,0
What is the relationship between FIFO and clock page replacement algorithms?,13,0.0424656154299,1,1,1
What is accomplished by page buffering?,7,0.0273455754426,1,1,1
Why is it not possible to combine a global replacement policy and a fixed allocation policy?,7,0.058823381725,1,1,1
What is the difference between a resident set and a working set?,6,0.0303661630943,1,1,0
What is the difference between demand cleaning and precleaning?,6,0.0447665393405,1,1,0
Briefly describe the three types of processor scheduling.,6,0.0351001017638,1,1,0
What is usually the critical performance requirement in an interactive operating system?,0,0.0216374258433,1,1,0
What is the difference between turnaround time and response time?,0,0.0354277080385,1,1,0
"For process scheduling, does a low-priority value represent a low priority or a high priority?",0,0.0624823008699,1,1,0
What is the difference between preemptive and nonpreemptive scheduling?,6,0.0514553556004,1,1,0
Briefly define FCFS scheduling.,6,0.0485151135619,1,1,0
Briefly define round-robin scheduling.,6,0.0267605676307,1,1,0
Briefly define shortest-process-next scheduling.,6,0.0291189592102,1,1,0
Briefly define shortest-remaining-time scheduling.,6,0.0371338191968,1,1,0
Briefly define highest-response-ratio-next scheduling.,6,0.0425410174843,1,1,0
Briefly define feedback scheduling.,6,0.0318380279035,1,1,0
List and briefly define five different categories of synchronization granularity.,6,0.02813510761,1,1,0
List and briefly define four techniques for thread scheduling.,6,0.0237991034418,1,1,0
List and briefly define three versions of load sharing.,6,0.0332848500155,1,1,0
What is the difference between hard and soft real-time tasks?,6,0.0788901662689,1,1,0
What is the difference between periodic and aperiodic real-time tasks?,6,0.0751948015228,1,1,0
List and briefly define five general areas of requirements for a real-time operating system.,0,0.0743715809466,1,1,0
List and briefly define four classes of real-time scheduling algorithms.,6,0.0670533591894,1,1,0
What items of information about a task might be useful in real-time scheduling?,7,0.0562049392795,1,1,1
List and briefly define three techniques for performing I/O.,6,0.0351001017638,1,1,0
What is the difference between logical I/O and device I/O?,6,0.024067066028,1,1,0
What is the difference between block-oriented devices and stream-oriented devices? Give a few examples of each.,0,0.0410694388384,1,1,0
Why would you expect improved performance using a double buffer rather than a single buffer for I/O?,9,0.0349141278172,1,1,3
What delay elements are involved in a disk read or write?,7,0.0576901719363,1,1,1
Briefly define the disk scheduling policies illustrated in Figure 11.7.,1,0.0323707132997,1,1,1
Briefly define the seven RAID levels.,1,0.0291407353526,1,1,1
What is the typical disk sector size?,1,0.0321345002675,1,1,1
What is the difference between a field and a record?,1,0.0278427478474,1,1,1
What is the difference between a file and a database?,1,0.028157189081,1,1,1
What is a file management system?,1,0.016393442623,1,1,1
What criteria are important in choosing a file organization?,9,0.0395292176567,1,1,3
List and briefly define five file organizations.,0,0.0351001017638,1,1,0
Why is the average search time to find a record in a file less for an indexed sequential file than for a sequential file?,10,0.03049414168,1,1,4
What are typical operations that may be performed on a directory?,0,0.028083187505,1,1,0
What is the relationship between a pathname and a working directory?,1,0.0533528043022,1,1,1
What are typical access rights that may be granted or denied to a particular user for a particular file?,0,0.034071653607,1,1,0
List and briefly define three blocking methods.,0,0.0415202173019,1,1,0
List and briefly define three file allocation methods.,0,0.0420467645637,1,1,0
What is an embedded system?,0,0.0511315679829,1,1,0
What are some typical requirements or constraints on embedded systems?,1,0.0703784761566,1,1,1
What is an embedded OS?,0,0.0511315679829,1,1,0
What are some of the key characteristics of an embedded OS?,0,0.0639122063256,1,1,0
Explain the relative advantages and disadvantages of an embedded OS based on an existing commercial OS compared to a purpose-built embedded OS.,10,0.125014200323,1,1,4
What are the principal objectives that guided the design of the eCos kernel?,1,0.0244187441971,1,1,1
"In eCos, what is the difference between an interrupt service routine and a deferred service routine?",0,0.0348222479673,1,1,0
What concurrency mechanisms are available in eCos?,0,0.0430525726361,1,1,0
What is the target application for TinyOS?,0,0.034997354466,1,1,0
What are the design goals for TinyOS?,0,0.0563705897976,1,1,0
What is a TinyOS component?,0,0.0469567956849,1,1,0
What software comprises the TinyOS operating system?,0,0.0309293481246,1,1,0
What is the default scheduling discipline for TinyOS?,0,0.0426559369096,1,1,0
Define computer security.,0,0.0579040404802,1,1,0
What are the fundamental requirements addressed by computer security?,1,0.0594671128002,1,1,1
What is the difference between passive and active security threats?,0,0.05820522608,1,1,0
List and briefly define three classes of intruders.,0,0.0811310679303,1,1,0
List and briefly define three intruder behavior patterns.,0,0.10090723544,1,1,0
What is the role of compression in the operation of a virus?,9,0.0435574689239,1,1,3
What is the role of encryption in the operation of a virus?,9,0.0852758248427,1,1,3
What are typical phases of operation of a virus or worm?,0,0.0575051164804,1,1,0
"In general terms, how does a worm propagate?",7,0.0548602286217,1,1,1
What is the difference between a bot and a rootkit?,0,0.0990043235484,1,1,0
"In general terms, what are four means of authenticating a user’s identity?",1,0.0636043632523,1,1,1
Explain the purpose of the salt in Figure 15.1.,1,0.05035783709,1,1,1
Explain the difference between a simple memory card and a smart card.,1,0.0728253493002,1,1,1
List and briefly describe the principal physical characteristics used for biometric identification.,0,0.0938499058465,1,1,0
Briefly describe the difference between DAC and RBAC.,0,0.0364252696245,1,1,0
Explain the difference between anomaly intrusion detection and signature intrusion detection.,0,0.112650290304,1,1,0
What is a digital immune system?,0,0.0540110102206,1,1,0
How does behavior-blocking software work?,7,0.0621996163814,1,1,1
Describe some worm countermeasures.,0,0.133146705296,1,1,0
What types of programming languages are vulnerable to buffer overflows?,7,0.0949261652203,1,1,1
What are the two broad categories of defenses against buffer overflows?,0,0.0682765688519,1,1,0
List and briefly describe some of the defenses against buffer overflows that can be used when compiling new programs.,0,0.135787708727,1,1,0
"List and briefly describe some of the defenses against buffer overflows that can be implemented when running existing, vulnerable programs.",0,0.159016330087,1,1,0
What is client/server computing?,0,0.087236969448,1,1,0
What distinguishes client/server computing from any other form of distributed data processing?,7,0.0880783958698,1,1,1
What is the role of a communications architecture such as TCP/IP in a client/server environment?,7,0.123272710893,1,1,1
"Discuss the rationale for locating applications on the client, the server, or split between client and server.",10,0.0553254716937,1,1,4
"What are fat clients and thin clients, and what are the differences in philosophy of the two approaches?",6,0.0258831248074,1,1,0
Suggest pros and cons for fat client and thin client strategies.,1,0.0315800111695,1,1,1
Explain the rationale behind the three-tier client/server architecture.,4,0.153008808329,1,1,4
What is middleware?,0,0.0523301401468,1,1,0
"Because we have standards such as TCP/IP, why is middleware needed?",1,0.0838801437283,1,1,1
List some benefits and disadvantages of blocking and nonblocking primitives for message passing.,6,0.0884757981597,1,1,0
List some benefits and disadvantages of nonpersistent and persistent binding for RPCs.,6,0.187998889468,1,1,0
List some benefits and disadvantages of synchronous and asynchronous RPCs.,6,0.0714129393789,1,1,0
List and briefly define four different clustering methods.,0,0.028792819643,1,1,0
"Suppose the hypothetical processor of Figure 1.3 also has two I/O instructions: 0011 Load AC from I/O and 0111 Store AC to I/O. In these cases, the 12-bit address identifies a particular external device. Show the program execution for the following program",13,0.0620724464582,1,1,1
The program execution is described in the text using six steps. Expand this description to show the use of the MAR and MBR.,13,0.0602468102302,1,1,1
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. The first byte contains the opcode and the remainder an immediate operand or an operand address. What is the maximum directly addressable memory capacity (in bytes)?,9,0.0382299619567,1,1,3
"Discuss the impact on the system speed if the microprocessor bus has - 1. a 32-bit local address bus and a 16-bit local data bus, or 2. a 16-bit local address bus and a 16-bit local data bus.",9,0.0362598173763,1,1,3
Consider a hypothetical 32-bit microprocessor having 32-bit instructions composed of two fields. How many bits are needed for the program counter and the instruction register?,8,0.041387262722,1,1,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What is the maximum memory address space that the processor can access directly if it is connected to a “16-bit memory”?,8,0.0524917636526,1,1,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What is the maximum memory address space that the processor can access directly if it is connected to an “8-bit memory”?,8,0.0524917636526,1,1,2
Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. What architectural features will allow this microprocessor to access a separate “I/O space”?,8,0.0463552429685,1,1,2
"Consider a hypothetical microprocessor generating a 16-bit address and having a 16-bit data bus. If an input and an output instruction can specify an 8-bit I/O port number, how many 8-bit I/O ports can the microprocessor support? How many 16-bit I/O ports? Explain.",8,0.056381953082,1,1,2
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. What is the maximum data transfer rate across the bus that this microprocessor can sustain in bytes/s?",8,0.0283469182435,1,1,2
"Consider a 32-bit microprocessor, with a 16-bit external data bus, driven by an 8-MHz input clock. To increase its performance, would it be better to make its external data bus 32 bits or to double the external clock frequency supplied to the microprocessor?",10,0.0465091472198,1,1,4
"Consider a computer system that contains an I/O module controlling a simple keyboard/printer Teletype. The following registers are contained in the CPU and connected directly to the system bus: Input Register(8), Output Register(8), Input Flag(1), Output Flag(1), and Interrupt Enable(1). The Teletype is able to encode an alphanumeric symbol to an 8-bit word and decode an 8-bit word into an alphanumeric symbol. The Input flag is set when an 8-bit word enters the input register from the Teletype. The Output flag is set when a word is printed. Describe how the CPU, using the first four registers listed in this problem, can achieve I/O with the Teletype. Describe how the function can be performed more efficiently by also employing IEN.",17,0.0349835776613,1,1,5
"In virtually all systems that include DMA modules, DMA access to main memory is given higher priority than processor access to main memory. Why?",9,0.0247949412406,1,1,3
A DMA module is transferring characters to main memory from an external device transmitting at 9600 bits per second (bps). The processor can fetch instructions at the rate of 1 million instructions per second. By how much will the processor be slowed down due to the DMA activity?,8,0.0884399724827,1,1,2
"A computer consists of a CPU and an I/O device D connected to main memory M via a shared bus with a data bus width of one word. The CPU can execute a maximum of 106 instructions per second. An average instruction requires five processor cycles, three of which use the memory bus. A memory read or write operation uses one processor cycle. Suppose that the CPU is continuously executing “background” programs that require 95% of its instruction execution rate but not any I/O instructions. Assume that one processor cycle equals one bus cycle. Now suppose that very large blocks of data are to be transferred between M and D. a. If programmed I/O is used and each one-word I/O transfer requires the CPU to execute two instructions, estimate the maximum I/O data transfer rate, in words per second, possible through D. b. Estimate the same rate if DMA transfer is used.",8,0.0327387124322,1,1,2
Consider the following code <CODE> a. Give one example of the spatial locality in the code. b. Give one example of the temporal locality in the code.,7,0.0279232335733,1,1,1
"Consider a memory system with the following parameters: Tc   100 ns Cc   0.01 cents/bit Tm   1,200 ns Cm   0.001 cents/bit a. What is the cost of 1 MByte of main memory? b. What is the cost of 1 MByte of main memory using cache memory technology?",2,0.0644545280421,1,1,2
"Consider a memory system with the following parameters: Tc   100 ns Cc   0.01 cents/bit Tm   1,200 ns Cm   0.001 cents/bit. If the effective access time is 10% greater than the cache access time, what is the hit ratio H?",8,0.044584152575,1,1,2
"A computer has a cache, main memory, and a disk used for virtual memory. If a referenced word is in the cache, 20 ns are required to access it. If it is in main memory but not in the cache, 60 ns are needed to load it into the cache (this includes the time to originally check the cache), and then the reference is started again. If the word is not in main memory, 12 ms are required to fetch the word from disk, followed by 60 ns to copy it to the cache, and then the reference is started again. The cache hit ratio is 0.9 and the main-memory hit ratio is 0.6. What is the average time in ns required to access a referenced word on this system?",8,0.0674729379368,1,1,2
Suppose a stack is to be used by the processor to manage procedure calls and returns. Can the program counter be eliminated by using the top of the stack as a program counter?,9,0.033187998973,1,1,3
"Suppose that we have a multiprogrammed computer in which each job has identical characteristics. In one computation period, T, for a job, half the time is spent in I/O and the other half in processor activity. Each job runs for a total of N periods. Assume that a simple round-robin scheduling is used, and that I/O operations can overlap with processor operation. Define the following quantities: • Turnaround time = actual time to complete a job • Throughput = average number of jobs completed per time period T • Processor utilization = percentage of time that the processor is active (not waiting) Compute these quantities for one, two, and four simultaneous jobs, assuming that the period T is distributed in each of the following ways: a. I/O first half, processor second half b. I/O first and fourth quarters, processor second and third quarter",14,0.0912999078561,1,1,2
"An I/O-bound program is one that, if run alone, would spend more time waiting for I/O than using the processor. A processor-bound program is the opposite. Suppose a short-term scheduling algorithm favors those programs that have used little processor time in the recent past. Explain why this algorithm favors I/O-bound programs and yet does not permanently deny processor time to processor-bound programs.",10,0.0891482180116,1,1,4
Contrast the scheduling policies you might use when trying to optimize a time-sharing system with those you would use to optimize a multiprogrammed batch system.,10,0.0679055217556,1,1,4
"What is the purpose of system calls, and how do system calls relate to the OS and to the concept of dual-mode (kernel-mode and user-mode) operation?",7,0.049775505652,1,1,1
"In IBM’s mainframe OS, OS/390, one of the major modules in the kernel is the System Resource Manager. This module is responsible for the allocation of resources among address spaces (processes). This problem concerns one example of SRM activity. Real memory is divided into equal-sized blocks called frames, of which there may be many thousands. Each frame can hold a block of virtual memory referred to as a page. SRM receives control approximately 20 times per second and inspects each and every page frame. If the page has not been referenced or changed, a counter is incremented by 1. Over time, SRM averages these numbers to determine the average number of seconds that a page frame in the system goes untouched. What might be the purpose of this and what action might SRM take?",9,0.146473682339,1,1,3
"A multiprocessor with eight processors has 20 attached tape drives. There is a large number of jobs submitted to the system that each require a maximum of four tape drives to complete execution. Assume that each job starts running with only three tape drives for a long period before requiring the fourth tape drive for a short period toward the end of its operation. Also assume an endless supply of such jobs. Assume the scheduler in the OS will not start a job unless there are four tape drives available. When a job is started, four drives are assigned immediately and are not released until the job finishes. What is the maximum number of jobs that can be in progress at once? What are the maximum and minimum number of tape drives that may be left idle as a result of this policy?",15,0.0792198275461,1,1,3
A multiprocessor with eight processors has 20 attached tape drives. There is a large number of jobs submitted to the system that each require a maximum of four tape drives to complete execution. Assume that each job starts running with only three tape drives for a long period before requiring the fourth tape drive for a short period toward the end of its operation. Also assume an endless supply of such jobs. Suggest an alternative policy to improve tape drive utilization and at the same time avoid system deadlock. What is the maximum number of jobs that can be in progress at once? What are the bounds on the number of idling tape drives?,17,0.0766418989167,1,1,5
"The following state transition table is a simplified model of process management, with the labels representing transitions between states of READY, RUN, BLOCKED, and NONRESIDENT. Give an example of an event that can cause each of the above transitions. Draw a diagram if that helps.",9,0.0329997572522,1,1,3
"Assume that at time 5 no system resources are being used except for the processor and memory. Now consider the following events: At time 5: P1 executes a command to read from disk unit 3. At time 15: P5’s time slice expires. At time 18: P7 executes a command to write to disk unit 3. At time 20: P3 executes a command to read from disk unit 2. At time 24: P5 executes a command to write to disk unit 3. At time 28: P5 is swapped out. At time 33: An interrupt occurs from disk unit 2: P3’s read is complete. At time 36: An interrupt occurs from disk unit 3: P1’s read is complete. At time 38: P8 terminates. At time 40: An interrupt occurs from disk unit 3: P5’s write is complete. At time 44: P5 is swapped back in. At time 48: An interrupt occurs from disk unit 3: P7’s write is complete. For each time 22, 37, and 47, identify which state each process is in. If a process is blocked, further identify the event on which is it blocked.",14,0.0548251358331,1,1,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the possible transitions and give an example of what could cause each transition.",8,0.0237216209618,1,1,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. List all of the impossible transitions and explain why.",8,0.0214495726452,1,1,2
"Figure 3.9b contains seven states. In principle, one could draw a transition between any two states, for a total of 42 different transitions. For the seven-state process model of Figure 3.9b, draw a queueing diagram similar to that of Figure 3.8b.",14,0.0355131861422,1,1,2
"Consider the state transition diagram of Figure 3.9b. Suppose that it is time for the OS to dispatch a process and that there are processes in both the Ready state and the Ready/Suspend state, and that at least one process in the Ready/Suspend state has higher scheduling priority than any of the processes in the Ready state. Two extreme policies are as follows: (1) Always dispatch from a process in the Ready state, to minimize swapping, and (2) always give preference to the highest-priority process, even though that may mean swapping when swapping is not necessary. Suggest an intermediate policy that tries to balance the concerns of priority and performance.",17,0.0855236095011,1,1,5
Table 3.13 shows the process states for the VAX/VMS operating system. Can you provide a justification for the existence of so many distinct wait states?,15,0.0422924691904,1,1,3
"Table 3.13 shows the process states for the VAX/VMS operating system. Why do the following states not have resident and swapped-out versions: Page Fault Wait, Collided Page Wait, Common Event Wait, Free Page Wait, and Resource Wait?",15,0.0339666585986,1,1,3
Table 3.13 shows the process states for the VAX/VMS operating system. Draw the state transition diagram and indicate the action or occurrence that causes each transition.,13,0.0318240264692,1,1,1
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines • Instruction execution privileges: What instructions the processor may execute • Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: • Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations • Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines • Supervisor: Executes other OS services, such as responses to user commands • User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. A number of operating systems have two modes, kernel and user. What are the advantages and disadvantages of providing four modes instead of two?",16,0.0444683052884,1,1,4
"The VAX/VMS operating system makes use of four processor access modes to facilitate the protection and sharing of system resources among processes. The access mode determines • Instruction execution privileges: What instructions the processor may execute • Memory access privileges: Which locations in virtual memory the current instruction may access. The four modes are as follows: • Kernel: Executes the kernel of the VMS operating system, which includes memory management, interrupt handling, and I/O operations • Executive: Executes many of the OS service calls, including file and record (disk and tape) management routines • Supervisor: Executes other OS services, such as responses to user commands • User: Executes user programs, plus utilities such as compilers, editors, linkers, and debuggers. A process executing in a less-privileged mode often needs to call a procedure that executes in a more-privileged mode; for example, a user program requires an operating system service. This call is achieved by using a change-mode (CHM) instruction, which causes an interrupt that transfers control to a routine at the new access mode. A return is made by executing the REI (return from exception or interrupt) instruction. Can you make a case for even more than four modes?",16,0.0487671469349,1,1,4
"The VMS scheme discussed in the preceding problem is often referred to as a ring protection structure, as illustrated in Figure 3.18. Indeed, the simple kernel/user scheme, as described in Section 3.3, is a two-ring structure. [SILB04] points out a problem with this approach: The main disadvantage of the ring (hierarchical) structure is that it does not allow us to enforce the need-to-know principle. In particular, if an object must be accessible in domain Dj but not accessible in domain Di, then we must have j 6 i. But this means that every segment accessible in Di is also accessible in Dj. Explain clearly what the problem is that is referred to in the preceding quote.",15,0.0524920810937,1,1,3
Figure 3.8b suggests that a process can only be in one event queue at a time. Is it possible that you would want to allow a process to wait on more than one event at the same time? Provide an example.,9,0.0206502430775,1,1,3
"Figure 3.8b suggests that a process can only be in one event queue at a time. In that case, how would you modify the queueing structure of the figure to support this new feature?",17,0.032342668943,1,1,5
"In a number of early computers, an interrupt caused the register values to be stored in fixed locations associated with the given interrupt signal. Under what circumstances is this a practical technique? Explain why it is inconvenient in general.",16,0.0285250725911,1,1,4
"In Section 3.4, it was stated that UNIX is unsuitable for real-time applications because a process executing in kernel mode may not be preempted. Elaborate.",9,0.0373560615977,1,1,3
"You have executed the following C program: <CODE> What are the possible outputs, assuming the fork succeeded?",13,0.0314460517868,1,1,1
"It was pointed out that two advantages of using multiple threads within a process are that (1) less work is involved in creating a new thread within an existing process than in creating a new process, and (2) communication among threads within the same process is simplified. Is it also the case that a mode switch between two threads within the same process involves less work than a mode switch between two threads in different processes?",9,0.0347607828802,1,1,3
"In the discussion of ULTs versus KLTs, it was pointed out that a disadvantage of ULTs is that when a ULT executes a system call, not only is that thread blocked, but also all of the threads within the process are blocked. Why is that so?",7,0.0870704407274,1,1,1
"OS/2 is an obsolete OS for PCs from IBM. In OS/2, what is commonly embodied in the concept of process in other operating systems is split into three separate types of entities: session, processes, and threads. A session is a collection of one or more processes associated with a user interface (keyboard, display, and mouse). The session represents an interactive user application, such as a word processing program or a spreadsheet. This concept allows the personal-computer user to open more than one application, giving each one or more windows on the screen. The OS must keep track of which window, and therefore which session, is active, so that keyboard and mouse input are routed to the appropriate session. At any time, one session is in foreground mode, with other sessions in background mode. When a session is in foreground mode, a process performing video output sends it directly to the hardware video buffer and thence to the user’s screen. When the session is moved to the background, the hardware video buffer is saved to a logical video buffer for that session. While a session is in background, if any of the threads of any of the processes of that session executes and produces screen output, that output is directed to the logical video buffer. When the session returns to foreground, the screen is updated to reflect the current contents of the logical video buffer for the new foreground session. There is a way to reduce the number of process-related concepts in OS/2 from three to two. Eliminate sessions, and associate the user interface (keyboard, mouse, and screen) with processes. Thus, one process at a time is in foreground mode. For further structuring, processes can be broken up into threads. a. What benefits are lost with this approach? b. If you go ahead with this modification, where do you assign resources (memory, files, etc.): at the process or thread level?",16,0.0486501879789,1,1,4
Consider an environment in which there is a one-to-one mapping between user-level threads and kernel-level threads that allows one or more threads within a process to issue blocking system calls while other threads continue to run. Explain why this model can make multithreaded programs run faster than their single-threaded counterparts on a uniprocessor computer.,15,0.12287458737,1,1,3
"If a process exits and there are still threads of that process running, will they continue to run?",0,0.0396193153208,1,1,0
"The OS/390 mainframe operating system is structured around the concepts of address space and task. Roughly speaking, a single address space corresponds to a single application and corresponds more or less to a process in other operating systems. Within an address space, a number of tasks may be generated and execute concurrently; this corresponds roughly to the concept of multithreading. Two data structures are key to managing this task structure. An address space control block (ASCB) contains information about an address space needed by OS/390 whether or not that address space is executing. Information in the ASCB includes dispatching priority, real and virtual memory allocated to this address space, the number of ready tasks in this address space, and whether each is swapped out. A task control block (TCB) represents a user program in execution. It contains information needed for managing a task within an address space, including processor status information, pointers to programs that are part of this task, and task execution state. ASCBs are global structures maintained in system memory, while TCBs are local structures maintained within their address space. What is the advantage of splitting the control information into global and local portions?",15,0.0352147703043,1,1,3
"Many current language specifications, such as for C and C++, are inadequate for multithreaded programs. This can have an impact on compilers and the correctness of code, as this problem illustrates. Consider the following declarations and function definition: <CODE> Now consider the case in which thread A performs <CODE> while thread B performs <CODE> What does the function do?",15,0.0254565354461,1,1,3
"Many current language specifications, such as for C and C++, are inadequate for multithreaded programs. This can have an impact on compilers and the correctness of code, as this problem illustrates. Consider the following declarations and function definition: <CODE> Now consider the case in which thread A performs <CODE> while thread B performs <CODE> The C language only addresses single-threaded execution. Does the use of two parallel threads create any problems or potential problems?",1,0.0367846686461,1,1,1
"But some existing optimizing compilers (including gcc, which tends to be relatively conservative) will “optimize” count_positives to something similar to <CODE> What problem or potential problem occurs with this compiled version of the program if threads A and B are executed concurrently?",9,0.0216999956271,1,1,3
"Consider the following code using the POSIX Pthreads API: <CODE> In main() we first declare a variable called mythread, which has a type of pthread_t. This is essentially an ID for a thread. Next, the if statement creates a thread associated with mythread. The call pthread_create() returns zero on success and a nonzero value on failure. The third argument of pthread_ create() is the name of a function that the new thread will execute when it starts. When this thread_function() returns, the thread terminates. Meanwhile, the main program itself defines a thread, so that there are two threads executing. The pthread_join function enables the main thread to wait until the new thread completes. What does this program accomplish?",13,0.0434354234013,1,1,1
