Questions,Manual Label,Log Reg,Gaussian,Linear,RBF,Polynomial
Will the comparison-counting algorithm work correctly for arrays with equal values?,Conceptual,Procedural,Conceptual,Factual,Factual,Factual
Give examples of using an index in real-life applications that do not involve computers.,Conceptual,Factual,Factual,Factual,Factual,Factual
Find the minimum order of the B-tree that guarantees that the number of disk accesses in searching in a file of 100 million records does not exceed,Conceptual,Factual,Factual,Factual,Factual,Factual
Draw the B-tree obtained after inserting 30 and then 31 in the B-tree in Figure,Procedural,Factual,Factual,Factual,Factual,Factual
Outline an algorithm for finding the largest key in a B-tree.,Conceptual,Factual,Factual,Factual,Factual,Factual
Why is the time efficiency of algorithm OptimalBST cubic? b. Why is the space efficiency of algorithm OptimalBST quadratic?,Conceptual,Factual,Factual,Factual,Factual,Factual
Write pseudocode for a linear-time algorithm that generates the optimal binary search tree from the root table.,Conceptual,Factual,Factual,Factual,Factual,Factual
"Devise a way to compute the sums j ps , which are used in the dynamic s=i programming algorithm for constructing an optimal binary search tree, in constant time (per sum). ",Conceptual,Factual,Factual,Factual,Factual,Factual
True or false: The root of an optimal binary search tree always contains the key with the highest search probability?,Conceptual,Factual,Factual,Factual,Factual,Factual
How would you construct an optimal binary search tree for a set of n keys if all the keys are equally likely to be searched for? What will be the average number of comparisons in a successful search in such a tree if n = 2k?,Factual,Factual,Factual,Factual,Factual,Factual
"Show that the number of distinct binary search trees b(n) that can be constructed for a set of n orderable keys satisfies the recurrence relation n-1 b(n) = b(k)b(n - 1 - k) for n > 0, b(0) = ",Factual,Procedural,Factual,Factual,Factual,Factual
Design a (n2) algorithm for finding an optimal binary search tree.,Factual,Procedural,Factual,Factual,Factual,Factual
Generalize the optimal binary search algorithm by taking into account unsuccessful searches.,Conceptual,Factual,Factual,Factual,Factual,Factual
Apply Warshall's algorithm to find the transitive closure of the digraph defined by the following adjacency matrix: 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0,Conceptual,Factual,Factual,Factual,Factual,Factual
Explain what adjustments if any need to be made in Dijkstra's algorithm and/or in an underlying graph to solve the following problems. a. Solve the single-source shortest-paths problem for directed weighted graphs. b. Find a shortest path between two given vertices of a weighted graph or digraph. (This variation is called the single-pair shortest-path problem.) c. Find the shortest paths to a given vertex from each other vertex of a weighted graph or digraph. (This variation is called the single-destination shortest-paths problem.) d. Solve the single-source shortest-paths problem in a graph with nonnegative numbers assigned to its vertices (and the length of a path defined as the sum of the vertex numbers on the path).,Conceptual,Factual,Procedural,Factual,Factual,Factual
"Solve the following linear programming problems geometrically. a. maximize 3x + y subject to -x + y 1 2x + y 4 x 0, y 0 b. maximize x + 2y subject to 4x y y 3+x x 0, y 0 ",Conceptual,Factual,Procedural,Factual,Factual,Factual
"Since maximum-flow algorithms require processing edges in both directions, it is convenient to modify the adjacency matrix representation of a network as follows. If there is a directed edge from vertex i to vertex j of capacity uij , then the element in the ith row and the j th column is set to uij , and the element in the j th row and the ith column is set to -uij ; if there is no edge between vertices i and j , both these elements are set to zero. Outline a simple algorithm for identifying a source and a sink in a network presented by such a matrix and indicate its time efficiency. ",Conceptual,Factual,Factual,Factual,Factual,Factual
Apply the shortest-augmenting path algorithm to find a maximum flow and a minimum cut in the following networks. a. 5 2 1 2 5 6 4 4 3 7 4 8 6 b. 3 2 4 2 1 1 4 4 6 7 3 5 5 2,Conceptual,Factual,Factual,Factual,Factual,Factual
Does the maximum-flow problem always have a unique solution? Would your answer be different for networks with different capacities on all their edges? b. Answer the same questions for the minimum-cut problem of finding a cut of the smallest capacity in a given network.,Conceptual,Factual,Procedural,Factual,Factual,Factual
Explain how the maximum-flow problem for a network with several sources and sinks can be transformed into the same problem for a network with a single source and a single sink. b. Some networks have capacity constraints on the flow amounts that can flow through their intermediate vertices. Explain how the maximum-flow problem for such a network can be transformed to the maximum-flow problem for a network with edge capacity constraints only.,Conceptual,Factual,Procedural,Factual,Factual,Factual
"Consider a network that is a rooted tree, with the root as its source, the leaves as its sinks, and all the edges directed along the paths from the root to the leaves. Design an efficient algorithm for finding a maximum flow in such a network. What is the time efficiency of your algorithm? ",Conceptual,Procedural,Procedural,Factual,Factual,Factual
"Find a trivial lower-bound class for each of the following problems and indicate, if you can, whether this bound is tight. a. finding the largest element in an array b. checking completeness of a graph represented by its adjacency matrix c. generating all the subsets of an n-element set d. determining whether n given real numbers are all distinct ",Conceptual,Factual,Procedural,Factual,Factual,Factual
Consider the problem of identifying a lighter fake coin among n identicallooking coins with the help of a balance scale. Can we use the same information-theoretic argument as the one in the text for the number of questions in the guessing game to conclude that any algorithm for identifying the fake will need at least log2 n weighings in the worst case?,Conceptual,Factual,Procedural,Factual,Factual,Factual
Prove by mathematical induction that a. h log2 l for any binary tree with height h and the number of leaves l. b. h log3 l for any ternary tree with height h and the number of leaves l.,Conceptual,Procedural,Factual,Factual,Factual,Factual
"Some textbooks define the number of significant digits in the approximation of number by number as the largest nonnegative integer k for which | - | < 5 . 10-k. || According to this definition, how many significant digits are there in the approximation of by a. ",Factual,Factual,Factual,Factual,Factual,Factual
Use the composite trapezoidal rule with n = 4 to approximate the following definite integrals. Find the truncation error of each approximation and compare it with the one given by formula (,Conceptual,Procedural,Procedural,Factual,Factual,Factual
"Apply the nearest-neighbor algorithm to the instance defined by the intercity distance matrix below. Start the algorithm at the first city, assuming that the cities are numbered from 1 to ",Conceptual,Factual,Procedural,Factual,Factual,Factual
Find on the Internet or in your library a procedure for finding a real root of the general cubic equation ax3 + bx2 + cx + d = 0 with real coefficients. b. What general algorithm design technique is it based on?,Conceptual,Factual,Factual,Factual,Factual,Factual
Indicate how many roots each of the following equations has: a. xex - 1 = 0 b. x - ln x = 0 c. x sin x - 1 = 0,Conceptual,Procedural,Procedural,Factual,Factual,Factual
"Prove that if p(x) is a polynomial of an odd degree, then it must have at least one real root. b. Prove that if x0 is a root of an n-degree polynomial p(x), the polynomial can be factored into p(x) = (x - x0)q(x), where q(x) is a polynomial of degree n - 1",Factual,Factual,Procedural,Factual,Factual,Factual
Apply the bisection method to find the root of the equation x3 + x - 1 = 0 with an absolute error smaller than 10-,Conceptual,Factual,Procedural,Factual,Factual,Factual
"One can find arguments supporting either view. There is a well-established principle pertinent to the matter, though: scientific facts or mathematical expressions of them are not patentable. (Why do you think this is the case?) But should this preclude granting patents for all algorithms? ",Conceptual,Factual,Factual,Factual,Factual,Factual
Try to design an algorithm that always makes less than mn comparisons.,Factual,Factual,Factual,Factual,Factual,Factual
Just follow Euclid's algorithm as described in the text. b. Compare the number of divisions made by the two algorithms.,Factual,Procedural,Procedural,Factual,Factual,Factual
"Prove that if d divides both m and n (i.e., m = sd and n = td for some positive integers s and t), then it also divides both n and r = m mod n and vice versa. Use the formula m = qn + r (0 r < n) and the fact that if d divides two integers u and v, it also divides u + v and u - v (why?). ",Factual,Procedural,Conceptual,Factual,Factual,Factual
Perform one iteration of the algorithm for two arbitrarily chosen integers m < n.,Factual,Procedural,Factual,Factual,Factual,Factual
"For a sorted array, there is a spectacularly efficient algorithm you almost certainly have heard about. b. Unsuccessful searches can be made faster. ",Factual,Procedural,Procedural,Factual,Factual,Factual
Simplify the functions given to single out the terms defining their orders of growth.,Factual,Factual,Procedural,Factual,Factual,Factual
You can prove this assertion either by computing an appropriate limit or by applying mathematical induction. b. Compute limn a1n/a2n.,Conceptual,Factual,Procedural,Factual,Factual,Factual
"Prove the correctness of (a), (b), and (c) by using the appropriate definitions; construct a counterexample for (d) (e.g., by constructing two functions behaving differently for odd and even values of their arguments). ",Factual,Factual,Conceptual,Factual,Factual,Factual
Follow the analysis plan used in the text when the algorithm was mentioned for the first time.,Conceptual,Factual,Procedural,Factual,Factual,Factual
Each of these recurrences can be solved by the method of backward substitutions.,Factual,Procedural,Conceptual,Factual,Factual,Factual
The question is similar to that about the efficiency of the recursive algorithm for computing n!. b. Write pseudocode for the nonrecursive algorithm and determine its efficiency.,Factual,Procedural,Factual,Factual,Factual,Factual
"Note that you are asked here about a recurrence for the function's values, not about a recurrence for the number of times its operation is executed. Just follow the pseudocode to set it up. It is easier to solve this recurrence by forward substitutions (see Appendix B). b. This question is very similar to one we have already discussed. c. You may want to include the subtractions needed to decrease n. ",Factual,Factual,Factual,Factual,Factual,Factual
Does it return a correct comparison count for every array of size 2?,Factual,Procedural,Procedural,Factual,Factual,Factual
Check how fast the count values grow with doubling the input size.,Factual,Factual,Procedural,Factual,Factual,Factual
Compare the values of the functions lg lg n and lg n for n = 2k.,Factual,Factual,Factual,Factual,Factual,Factual
Insert the division counter in a program implementing the algorithm and run it for the input pairs in the range indicated.,Factual,Factual,Procedural,Factual,Factual,Factual
"Get the empirical data for random values of n in a range of, say, between 102 and 104 or 105 and plot the data obtained. (You may want to use different scales for the axes of your coordinate system.)",Factual,Factual,Factual,Factual,Factual,Factual
Solving the problem for n = 2 and n = 3 should lead you to the critical insight. b. Where would you put the post office if it did not have to be at one of the village locations?,Factual,Procedural,Factual,Factual,Factual,Factual
"Check requirements (i)_(iii) by using basic properties of absolute values. b. For the Manhattan distance, the points in question are defined by the equation |x - 0| + |y - 0| = ",Conceptual,Factual,Factual,Factual,Factual,Factual
Compare the efficiency classes of the two versions of DFS for sparse graphs.,Factual,Procedural,Factual,Factual,Factual,Factual
Perform the BFS traversal the same way it is done in the text,Factual,Factual,Factual,Factual,Factual,Factual
What property of a BFS forest indicates a cycle's presence? (The answer is similar to the one for a DFS forest.) b. Find two examples supporting this answer.,Factual,Procedural,Factual,Factual,Factual,Factual
"Given the fact that both traversals can reach a new vertex if and only if it is adjacent to one of the previously visited vertices, which vertices will be visited by the time either traversal halts (i.e., its stack or queue becomes empty)? ",Factual,Factual,Procedural,Factual,Factual,Factual
"Use a DFS forest and a BFS forest for parts (a) and (b), respectively. ",Factual,Factual,Factual,Factual,Factual,Factual
Use either DFS or BFS.,Factual,Factual,Factual,Factual,Factual,Factual
Follow the instructions of the problem's statement. b. Trying both traversals should lead you to a correct answer very fast.,Factual,Factual,Factual,Factual,Factual,Factual
You can apply BFS without an explicit sketch of a graph representing the states of the puzzle.,Factual,Factual,Factual,Factual,Factual,Factual
Trace the algorithm for n = 2; take advantage of this trace in tracing the algorithm for n = 3 and then use the latter for n =,Factual,Factual,Factual,Factual,Factual,Factual
Just trace the algorithms for n =,Factual,Factual,Factual,Factual,Factual,Factual
Represent the disk movements by flipping bits in a binary n-tuple.,Factual,Procedural,Procedural,Factual,Factual,Factual
Trace the algorithm on the input given. You will have to use it again in order to compute the products of two-digit numbers as well.,Factual,Procedural,Procedural,Factual,Factual,Factual
Take logarithms of both sides of the equality. b. What did we use the closed-form formula for?,Factual,Factual,Procedural,Factual,Factual,Factual
"How do we multiply by powers of 10? b. Try to repeat the argument for, say, 98. Counting the number of one-digit additions made by the pen-and-pencil algorithm in multiplying, say, two four-digit numbers, should help answer the general question. ",Conceptual,Factual,Procedural,Factual,Factual,Factual
Check the formulas by simple algebraic manipulations.,Conceptual,Factual,Procedural,Factual,Factual,Factual
Trace Strassen's algorithm on the input given,Factual,Factual,Factual,Factual,Factual,Factual
Use the method of backward substitutions to solve the recurrence given in the text.,Conceptual,Factual,Conceptual,Factual,Factual,Factual
The recurrence for the number of multiplications in Pan's algorithm is similar to that for Strassen's algorithm. Use the Master Theorem to find the order of growth of its solution.,Factual,Factual,Factual,Factual,Factual,Factual
Trace the algorithm as we did in solving another system in the section.,Factual,Factual,Factual,Factual,Factual,Factual
Use the Gaussian elimination results as explained in the text. b. It is one of the varieties of the transform-and-conquer technique. Which one?,Factual,Factual,Factual,Factual,Factual,Factual
Find the inverse. You can either solve the system with three simultaneous right-hand side vectors representing the columns of the 3 x 3 identity matrix or use the LU decomposition of the system's coefficient matrix,Factual,Factual,Procedural,Factual,Factual,Factual
"Though the final answer is correct, its derivation contains an error you have to find. ",Factual,Factual,Factual,Factual,Factual,Factual
Estimate the ratio of the algorithm running times by using the approximate formulas for the number of divisions and the number of multiplications in both algorithms.,Factual,Factual,Factual,Factual,Factual,Factual
Trace the algorithm outlined in the text on the input given.,Factual,Factual,Factual,Factual,Factual,Factual
"Comment on the following: For a heap represented by an array, only the parental dominance requirement needs to be checked. ",Factual,Factual,Procedural,Factual,Factual,Factual
What structure does a complete tree of height h with the largest number of nodes have? What about a complete tree with the smallest number of nodes? b. Use the results established in part (a).,Conceptual,Factual,Factual,Factual,Factual,Factual
"First, express the right-hand side as a function of h. Then, prove the obtained equality by either using the formula for the sum i2i given in Appendix A or by mathematical induction on h. ",Factual,Factual,Factual,Factual,Factual,Factual
Where in a heap should one look for its smallest element?,Conceptual,Factual,Conceptual,Factual,Factual,Factual
Deleting an arbitrary element of a heap can be done by generalizing the algorithm for deleting its root.,Factual,Factual,Factual,Factual,Factual,Factual
"Fill in a table with the time efficiency classes of efficient implementations of the three operations: finding the largest element, finding and deleting the largest element, and adding a new element. ",Factual,Procedural,Factual,Factual,Factual,Factual
"As a rule, sorting algorithms that can exchange far-apart elements are not stable. ",Factual,Factual,Factual,Factual,Factual,Factual
Set up sums and simplify them by using the standard formulas and rules for sum manipulation. Do not forget to include the multiplications outside the inner loop.,Factual,Factual,Factual,Factual,Factual,Factual
Check the algorithm's pseudocode to see what it does upon encountering equal values.,Conceptual,Factual,Factual,Factual,Factual,Factual
Trace the algorithm on the input given,Conceptual,Factual,Factual,Factual,Factual,Factual
Check whether the algorithm can reverse a relative ordering of equal elements.,Conceptual,Factual,Factual,Factual,Factual,Factual
Where will A[i] be in the sorted array?,Conceptual,Procedural,Procedural,Factual,Factual,Factual
Take advantage of the standard traversals of such trees.,Factual,Procedural,Factual,Factual,Factual,Factual
"Follow the definitions of the arrays B and C in the description of the method. b. Find, say, B[C[3]] for the example in part (a). ",Factual,Factual,Conceptual,Factual,Factual,Factual
Start by finding the target positions for all the statures.,Factual,Factual,Procedural,Factual,Factual,Factual
Use linked lists to hold nonzero elements of the matrices.,Factual,Procedural,Factual,Factual,Factual,Factual
Represent each of the given polynomials by a linked list with nodes containing exponent i and coefficient ai for each nonzero term aixi.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Trace the algorithm in the same way it is done in the section for another instance of the string-matching problem.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Thinking about searching for information should lead to a variety of examples.,Conceptual,Factual,Procedural,Factual,Factual,Factual
"Use the standard rules of sum manipulation and, in particular, the geometric series formula. b. You will need to take logarithms base m/2 in your derivation. ",Factual,Factual,Factual,Factual,Factual,Factual
Find this value from the inequality in the text that provides the upper-bound of the B-tree's height.,Procedural,Factual,Factual,Factual,Factual,Factual
Follow the insertion algorithm outlined in the section.,Procedural,Factual,Conceptual,Factual,Factual,Factual
"Just follow the description of the algorithm given in the statement of the problem. Note that a new key is always inserted in a leaf and that full nodes are always split on the way down, even though the leaf for the new key may have a room for it. b. Can a split of a full node cause a cascade of splits through the chain of its ancestors? Can we get a taller search tree than necessary?",Conceptual,Procedural,Factual,Factual,Factual,Factual
Compare the definitions of the two techniques.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Use the table generated by the dynamic programming algorithm in solving the problem's instance in Example 1 of the section.,Conceptual,Procedural,Factual,Factual,Factual,Factual
Apply the dynamic programming algorithm to the instance given as it is done in Example 2 of the section. Note that there are two optimal coin combinations here.,Conceptual,Factual,Factual,Factual,Factual,Factual
The algorithm's time efficiency can be investigated by following the standard plan of analyzing the time efficiency of a nonrecursive algorithm. b. How much space do the two tables generated by the algorithm use?,Conceptual,Factual,Factual,Factual,Factual,Factual
Use a space-for-time trade-off.,Conceptual,Factual,Factual,Factual,Factual,Factual
"If the assertion were true, would we not have a simpler algorithm for constructing an optimal binary search tree? ",Conceptual,Factual,Factual,Factual,Factual,Factual
The structure of the tree should simply minimize the average depth of its nodes. Do not forget to indicate a way to distribute the keys among the nodes of the tree.,Conceptual,Factual,Procedural,Factual,Factual,Factual
