Questions,Manual Label,Gaussian,Linear,Polynomial,RBF
"For the B-tree in Figure 12.4c, show the result of inserting the key 97.",Factual,Factual,Procedural,Conceptual,Factual
Both the search and the insertion time for a B-tree are a function of the height of the tree. We would like to develop a measure of the worst-case search or insertion time. Consider a B-tree of degree d that contains a total of n keys. Develop an inequality that shows an upper bound on the height h of the tree as a function of d and n.,Factual,Factual,Factual,Conceptual,Procedural
Repeat the preceding problem for a telephone switching system that routes calls through a switching network based on the telephone number requested by the caller.,Factual,Procedural,Procedural,Conceptual,Procedural
The following code fragments show a sequence of virus instructions and a polymorphic version of the virus. Describe the effect produced by the metamorphic code.,Factual,Factual,Conceptual,Conceptual,Procedural
"Because of the known risks of the UNIX password system, the SunOS-4.0 documentation recommends that the password file be removed and replaced with a publicly readable file called /etc/publickey. An entry in the file for user A consists of a user’s identifier IDA, the user’s public key, PUa, and the corresponding private key, PRa. This private key is encrypted using DES with a key derived from the user’s login password Pa. When A logs in, the system decrypts E(Pa, PRa) to obtain PRa. The system then verifies that Pa was correctly supplied. How?",Factual,Procedural,Procedural,Conceptual,Procedural
"Because of the known risks of the UNIX password system, the SunOS-4.0 documentation recommends that the password file be removed and replaced with a publicly readable file called /etc/publickey. An entry in the file for user A consists of a user’s identifier IDA, the user’s public key, PUa, and the corresponding private key, PRa. This private key is encrypted using DES with a key derived from the user’s login password Pa. When A logs in, the system decrypts E(Pa, PRa) to obtain PRa. How can an opponent attack this system?",Factual,Procedural,Procedural,Conceptual,Procedural
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. Derive an expression for the effective MIPS rate when using the system for exclusive execution of this program, in terms of n,   , and x.",Factual,Procedural,Procedural,Conceptual,Procedural
"Let be the percentage of program code that can be executed simultaneously by n computers in a cluster, each computer using a different set of parameters or initial conditions. Assume that the remaining code must be executed sequentially by a single processor. Each processor has an execution rate of x MIPS. If n   16 and x   4 MIPS, determine the value of that will yield a system performance of 40 MIPS.",Factual,Factual,Factual,Conceptual,Factual
"An application program is executed on a nine-computer cluster. A benchmark program takes time T on this cluster. Further, 25% of T is time in which the application is running simultaneously on all nine computers. The remaining time, the application has to run on a single computer. Calculate the effective speedup under the aforementioned condition as compared to executing the program on a single computer. Also calculate, the percentage of code that has been parallelized (programmed or compiled so as to use the cluster mode) in the preceding program.",Factual,Conceptual,Procedural,Conceptual,Factual
"An application program is executed on a nine-computer cluster. A benchmark program takes time T on this cluster. Further, 25% of T is time in which the application is running simultaneously on all nine computers. The remaining time, the application has to run on a single computer. Suppose that we are able to effectively use 18 computers rather than 9 computers on the parallelized portion of the code. Calculate the effective speedup that is achieved.",Factual,Conceptual,Procedural,Conceptual,Procedural
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. What is the total execution time (in machine cycle times) of the program on a single computer?",Factual,Procedural,Procedural,Conceptual,Procedural
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities.  Divide the I-loop iterations among the 32 computers as follows: Computer 1 executes the first 32 iterations (I   1 to 32), processor 2 executes the next 32 iterations, and so on. What are the execution time and speedup factor compared with part (a)? (Note that the computational workload, dictated by the J-loop, is unbalanced among the computers.)",Factual,Conceptual,Factual,Conceptual,Factual
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. Explain how to modify the parallelizing to facilitate a balanced parallel execution of all the computational workload over 32 computers. A balanced load means an equal number of additions assigned to each computer with respect to both loops.",Factual,Procedural,Factual,Conceptual,Factual
"The following FORTRAN program is to be executed on a computer, and a parallel version is to be executed on a 32-computer cluster. <CODE> Suppose lines 2 and 4 each take two machine cycle times, including all processor and memory-access activities. What is the minimum execution time resulting from the parallel execution on 32 computers? What is the resulting speedup over a single computer?",Factual,Conceptual,Procedural,Conceptual,Procedural
How would you identify daemons in Unix?,Factual,Procedural,Conceptual,Conceptual,Factual
"Do some research on al-Khorezmi (also al-Khwarizmi), the man from whose name the word ""algorithm"" is derived. In particular, you should learn what the origins of the words ""algorithm"" and ""algebra"" have in common. ",Conceptual,Procedural,Procedural,Conceptual,Factual
"Given that the official purpose of the U.S. patent system is the promotion of the ""useful arts,"" do you think algorithms are patentable in this country? Should they be? ",Conceptual,Procedural,Procedural,Conceptual,Procedural
Write down driving directions for going from your school to your home with the precision required from an algorithm's description. b. Write down a recipe for cooking your favorite dish with the precision required by an algorithm.,Factual,Factual,Factual,Conceptual,Procedural
"Old World puzzle A peasant finds himself on a riverbank with a wolf, a goat, and a head of cabbage. He needs to transport all three to the other side of the river in his boat. However, the boat has room for only the peasant himself and one other item (either the wolf, the goat, or the cabbage). In his absence, the wolf would eat the goat, and the goat would eat the cabbage. Solve this problem for the peasant or prove it has no solution. (Note: The peasant is a vegetarian but does not like cabbage and hence can eat neither the goat nor the cabbage to help him solve the problem. And it goes without saying that the wolf is a protected species.) ",Conceptual,Procedural,Factual,Conceptual,Factual
"New World puzzle There are four people who want to cross a rickety bridge; they all begin on the same side. You have 17 minutes to get them all across to the other side. It is night, and they have one flashlight. A maximum of two people can cross the bridge at one time. Any party that crosses, either one or two people, must have the flashlight with them. The flashlight must be walked back and forth; it cannot be thrown, for example. Person 1 takes 1 minute to cross the bridge, person 2 takes 2 minutes, person 3 takes 5 minutes, and person 4 takes 10 minutes. A pair must walk together at the rate of the slower person's pace. (Note: According to a rumor on the Internet, interviewers at a well-known software company located near Seattle have given this problem to interviewees.) ",Factual,Procedural,Procedural,Conceptual,Factual
"Which of the following formulas can be considered an algorithm for computing the area of a triangle whose side lengths are given positive numbers a, b, and c? a. S= p(p - a)(p - b)(p - c), where p = (a + b + c)/2 b. S= 1 bc sin A, where A is the angle between sides b and c 2 c. S = 1 aha , where ha is the height to base a 2 ",Conceptual,Factual,Factual,Conceptual,Procedural
"Write pseudocode for an algorithm for finding real roots of equation ax2 + bx + c = 0 for arbitrary real coefficients a, b, and c. (You may assume the availability of the square root function sqrt (x).) ",Procedural,Factual,Procedural,Conceptual,Procedural
Describe the standard algorithm for finding the binary representation of a positive decimal integer a. in English. b. in pseudocode.,Factual,Conceptual,Conceptual,Conceptual,Procedural
"Describe the algorithm used by your favorite ATM machine in dispensing cash. (You may give your description in either English or pseudocode, whichever you find more convenient.) ",Factual,Conceptual,Conceptual,Conceptual,Procedural
Name the algorithms for the searching problem that you already know. Give a good succinct description of each algorithm in English,Factual,Procedural,Factual,Conceptual,Procedural
"Describe how one can implement each of the following operations on an array so that the time it takes does not depend on the array's size n. a. Delete the ith element of an array (1 i n). b. Delete the ith element of a sorted array (the remaining array has to stay sorted, of course). ",Conceptual,Conceptual,Procedural,Conceptual,Procedural
"If you have to solve the searching problem for a list of n numbers, how can you take advantage of the fact that the list is known to be sorted? Give separate answers for a. lists represented as arrays. b. lists represented as linked lists. ",Conceptual,Procedural,Factual,Conceptual,Procedural
"Show the stack after each operation of the following sequence that starts with the empty stack: push(a), push(b), pop, push(c), push(d), pop b. Show the queue after each operation of the following sequence that starts with the empty queue: enqueue(a), enqueue(b), dequeue, enqueue(c), enqueue(d), dequeue ",Conceptual,Procedural,Procedural,Conceptual,Procedural
"Let A be the adjacency matrix of an undirected graph. Explain what property of the matrix indicates that i. the graph is complete. ii. the graph has a loop, i.e., an edge connecting a vertex to itself. iii. the graph has an isolated vertex, i.e., a vertex with no edges incident to it. b. Answer the same questions for the adjacency list representation. ",Factual,Procedural,Procedural,Conceptual,Factual
Compute the following sums. a. 1 + 3 + 5 + 7 + . . . + 999 b. 2 + 4 + 8 + 16 + . . . + 1024 c. n+1 1 d. n+1 i e. n-1 i(i + 1) i=3 i=3 i=0 f. n 3j +1 g. n n ij h. n 1/ i(i + 1) j =1 i=1 j =1 i=1,Factual,Factual,Procedural,Conceptual,Factual
Find the order of growth of the following sums. Use the (g(n)) notation with the simplest function g(n) possible. a. ni =-01(i 2 +1)2 b. n-1 lg i2 i=2 ij-=10(i + j ) n-1 c. in=1(i + 1)2i-1 d. i=0,Conceptual,Factual,Procedural,Conceptual,Factual
"The sample variance of n measurements x1, . . . , xn can be computed as either in=1(xi - xų)2 n xi where xų = i=1 n-1 n or n xi2 - ( n xi )2/ n i=1 i=1 . n-1 Find and compare the number of divisions, multiplications, and additions/ subtractions (additions and subtractions are usually bunched together) that are required for computing the variance according to each of these formulas. ",Conceptual,Procedural,Factual,Conceptual,Procedural
Find a Web site dedicated to applications of the Fibonacci numbers and study it.,Factual,Factual,Procedural,Conceptual,Procedural
Fibonacci's rabbits problem A man put a pair of rabbits in a place surrounded by a wall. How many pairs of rabbits will be there in a year if the initial pair of rabbits (male and female) are newborn and all rabbit pairs are not fertile during their first month of life but thereafter give birth to one new male/female pair at the end of every month?,Conceptual,Conceptual,Procedural,Conceptual,Procedural
"Climbing stairs Find the number of different ways to climb an n-stair staircase if each step is either one or two stairs. For example, a 3-stair staircase can be climbed three ways: 1-1-1, 1-2, and 2-",Conceptual,Procedural,Procedural,Conceptual,Conceptual
"How many even numbers are there among the first n Fibonacci numbers, i.e., among the numbers F (0), F (1), . . . , F (n - 1)? Give a closed-form formula valid for every n > ",Factual,Conceptual,Procedural,Conceptual,Factual
"Apply quicksort to sort the list E, X, A, M, P , L, E in alphabetical order. Draw the tree of the recursive calls made. ",Conceptual,Procedural,Factual,Conceptual,Procedural
"For the partitioning procedure outlined in this section: a. Prove that if the scanning indices stop while pointing to the same element, i.e., i = j, the value they are pointing to must be equal to p. b. Prove that when the scanning indices stop, j cannot point to an element more than one position to the left of the one pointed to by i. ",Factual,Factual,Factual,Conceptual,Procedural
Give an example showing that quicksort is not a stable sorting algorithm.,Conceptual,Factual,Procedural,Conceptual,Procedural
Give an example of an array of n elements for which the sentinel mentioned in the text is actually needed. What should be its value? Also explain why a single sentinel suffices for any input.,Factual,Factual,Procedural,Conceptual,Procedural
"For the version of quicksort given in this section: a. Are arrays made up of all equal elements the worst-case input, the bestcase input, or neither? b. Are strictly decreasing arrays the worst-case input, the best-case input, or neither? ",Conceptual,Procedural,Procedural,Conceptual,Procedural
"For quicksort with the median-of-three pivot selection, are strictly increasing arrays the worst-case input, the best-case input, or neither? b. Answer the same question for strictly decreasing arrays. ",Factual,Factual,Factual,Conceptual,Procedural
"Estimate how many times faster quicksort will sort an array of one million random numbers than insertion sort. b. True or false: For every n > 1, there are n-element arrays that are sorted faster by insertion sort than by quicksort? ",Factual,Procedural,Procedural,Conceptual,Procedural
"Design a divide-and-conquer algorithm for computing the number of levels in a binary tree. (In particular, the algorithm must return 0 and 1 for the empty and single-node trees, respectively.) What is the time efficiency class of your algorithm? ",Factual,Procedural,Factual,Conceptual,Procedural
"The following algorithm seeks to compute the number of leaves in a binary tree. ALGORITHM LeafCounter(T ) //Computes recursively the number of leaves in a binary tree //Input: A binary tree T //Output: The number of leaves in T if T = return 0 else return LeafCounter(Tleft)+ LeafCounter(Tright) Is this algorithm correct? If it is, prove it; if it is not, make an appropriate correction. ",Conceptual,Conceptual,Procedural,Conceptual,Factual
"Can you compute the height of a binary tree with the same asymptotic efficiency as the section's divide-and-conquer algorithm but without using a stack explicitly or implicitly? Of course, you may use a different algorithm altogether. ",Conceptual,Factual,Procedural,Conceptual,Procedural
Consider the problem of finding the distance between the two closest numbers in an array of n numbers. (The distance between two numbers x and y is computed as |x - y|.) a. Design a presorting-based algorithm for solving this problem and determine its efficiency class. b. Compare the efficiency of this algorithm with that of the brute-force algorithm (see Problem 9 in Exercises,Conceptual,Procedural,Procedural,Conceptual,Factual
Which of the following binary trees are AVL trees? 5 5 5 3 6 4 6 3 6 2 8 2 8 1 2 7 9 1 3 7 9 (a) (b) (c),Conceptual,Procedural,Conceptual,Conceptual,Procedural
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by the bottom-up algorithm.",Conceptual,Procedural,Procedural,Conceptual,Procedural
"Construct a heap for the list 1, 8, 6, 5, 3, 7, 4 by successive key insertions (top-down algorithm).",Conceptual,Factual,Procedural,Conceptual,Procedural
Is it always true that the bottom-up and top-down algorithms yield the same heap for the same input?,Conceptual,Factual,Factual,Conceptual,Factual
Find the smallest and the largest number of keys that a heap of height h can contain. b. Prove that the height of a heap with n nodes is equal to log2 n .,Factual,Factual,Procedural,Conceptual,Procedural
Design an efficient algorithm for finding and deleting an element of the smallest value in a heap and determine its time efficiency.,Conceptual,Procedural,Conceptual,Conceptual,Procedural
Design an efficient algorithm for finding and deleting an element of a given value v in a heap H and determine its time efficiency.,Conceptual,Procedural,Procedural,Conceptual,Procedural
Indicate the time efficiency classes of the three main operations of the priority queue implemented as a. an unsorted array. b. a sorted array. c. a binary search tree. d. an AVL tree. e. a heap.,Conceptual,Conceptual,Factual,Conceptual,Procedural
"Sort the following lists by heapsort by using the array representation of heaps. a. 1, 2, 3, 4, 5 (in increasing order) b. 5, 4, 3, 2, 1 (in increasing order) c. S, O, R, T, I, N, G (in alphabetical order) ",Factual,Conceptual,Procedural,Conceptual,Factual
Is heapsort a stable sorting algorithm?,Factual,Conceptual,Procedural,Conceptual,Procedural
What variety of the transform-and-conquer technique does heapsort represent?,Conceptual,Factual,Procedural,Conceptual,Conceptual
Which sorting algorithm other than heapsort uses a priority queue?,Conceptual,Procedural,Procedural,Conceptual,Procedural
Is Horner's rule more time efficient at the expense of being less space efficient than the brute-force algorithm?,Conceptual,Procedural,Procedural,Conceptual,Procedural
"Is it possible to exchange numeric values of two variables, say, u and v, without using any extra storage? ",Conceptual,Conceptual,Procedural,Conceptual,Procedural
Give examples of using an index in real-life applications that do not involve computers.,Conceptual,Procedural,Procedural,Conceptual,Procedural
Find the minimum order of the B-tree that guarantees that the number of disk accesses in searching in a file of 100 million records does not exceed,Conceptual,Procedural,Factual,Conceptual,Procedural
Outline an algorithm for finding the largest key in a B-tree.,Conceptual,Procedural,Procedural,Conceptual,Factual
True or false: The root of an optimal binary search tree always contains the key with the highest search probability?,Procedural,Conceptual,Procedural,Conceptual,Procedural
"Show that the number of distinct binary search trees b(n) that can be constructed for a set of n orderable keys satisfies the recurrence relation n-1 b(n) = b(k)b(n - 1 - k) for n > 0, b(0) = ",Conceptual,Factual,Procedural,Conceptual,Factual
Explain what adjustments if any need to be made in Dijkstra's algorithm and/or in an underlying graph to solve the following problems. a. Solve the single-source shortest-paths problem for directed weighted graphs. b. Find a shortest path between two given vertices of a weighted graph or digraph. (This variation is called the single-pair shortest-path problem.) c. Find the shortest paths to a given vertex from each other vertex of a weighted graph or digraph. (This variation is called the single-destination shortest-paths problem.) d. Solve the single-source shortest-paths problem in a graph with nonnegative numbers assigned to its vertices (and the length of a path defined as the sum of the vertex numbers on the path).,Conceptual,Procedural,Factual,Conceptual,Factual
"Solve the following linear programming problems geometrically. a. maximize 3x + y subject to -x + y 1 2x + y 4 x 0, y 0 b. maximize x + 2y subject to 4x y y 3+x x 0, y 0 ",Conceptual,Conceptual,Conceptual,Conceptual,Procedural
Does the maximum-flow problem always have a unique solution? Would your answer be different for networks with different capacities on all their edges? b. Answer the same questions for the minimum-cut problem of finding a cut of the smallest capacity in a given network.,Conceptual,Factual,Factual,Conceptual,Procedural
Explain how the maximum-flow problem for a network with several sources and sinks can be transformed into the same problem for a network with a single source and a single sink. b. Some networks have capacity constraints on the flow amounts that can flow through their intermediate vertices. Explain how the maximum-flow problem for such a network can be transformed to the maximum-flow problem for a network with edge capacity constraints only.,Conceptual,Procedural,Conceptual,Conceptual,Procedural
Consider the problem of identifying a lighter fake coin among n identicallooking coins with the help of a balance scale. Can we use the same information-theoretic argument as the one in the text for the number of questions in the guessing game to conclude that any algorithm for identifying the fake will need at least log2 n weighings in the worst case?,Factual,Conceptual,Procedural,Conceptual,Procedural
Prove by mathematical induction that a. h log2 l for any binary tree with height h and the number of leaves l. b. h log3 l for any ternary tree with height h and the number of leaves l.,Factual,Factual,Factual,Conceptual,Factual
"Some textbooks define the number of significant digits in the approximation of number by number as the largest nonnegative integer k for which | - | < 5 . 10-k. || According to this definition, how many significant digits are there in the approximation of by a. ",Factual,Procedural,Procedural,Conceptual,Factual
"Prove that if p(x) is a polynomial of an odd degree, then it must have at least one real root. b. Prove that if x0 is a root of an n-degree polynomial p(x), the polynomial can be factored into p(x) = (x - x0)q(x), where q(x) is a polynomial of degree n - 1",Conceptual,Conceptual,Procedural,Conceptual,Procedural
"One can find arguments supporting either view. There is a well-established principle pertinent to the matter, though: scientific facts or mathematical expressions of them are not patentable. (Why do you think this is the case?) But should this preclude granting patents for all algorithms? ",Conceptual,Factual,Procedural,Conceptual,Factual
"Prove that if d divides both m and n (i.e., m = sd and n = td for some positive integers s and t), then it also divides both n and r = m mod n and vice versa. Use the formula m = qn + r (0 r < n) and the fact that if d divides two integers u and v, it also divides u + v and u - v (why?). ",Conceptual,Procedural,Conceptual,Conceptual,Factual
"For a sorted array, there is a spectacularly efficient algorithm you almost certainly have heard about. b. Unsuccessful searches can be made faster. ",Conceptual,Factual,Conceptual,Conceptual,Procedural
"Prove the correctness of (a), (b), and (c) by using the appropriate definitions; construct a counterexample for (d) (e.g., by constructing two functions behaving differently for odd and even values of their arguments). ",Conceptual,Procedural,Conceptual,Conceptual,Procedural
Check how fast the count values grow with doubling the input size.,Conceptual,Conceptual,Procedural,Conceptual,Procedural
Compare the values of the functions lg lg n and lg n for n = 2k.,Conceptual,Procedural,Procedural,Conceptual,Procedural
"Get the empirical data for random values of n in a range of, say, between 102 and 104 or 105 and plot the data obtained. (You may want to use different scales for the axes of your coordinate system.)",Conceptual,Conceptual,Procedural,Conceptual,Procedural
Solving the problem for n = 2 and n = 3 should lead you to the critical insight. b. Where would you put the post office if it did not have to be at one of the village locations?,Conceptual,Procedural,Procedural,Conceptual,Factual
"Check requirements (i)_(iii) by using basic properties of absolute values. b. For the Manhattan distance, the points in question are defined by the equation |x - 0| + |y - 0| = ",Conceptual,Procedural,Factual,Conceptual,Factual
Represent the disk movements by flipping bits in a binary n-tuple.,Conceptual,Conceptual,Procedural,Conceptual,Factual
Take logarithms of both sides of the equality. b. What did we use the closed-form formula for?,Conceptual,Conceptual,Procedural,Conceptual,Factual
What structure does a complete tree of height h with the largest number of nodes have? What about a complete tree with the smallest number of nodes? b. Use the results established in part (a).,Factual,Procedural,Procedural,Conceptual,Procedural
Take advantage of the standard traversals of such trees.,Conceptual,Factual,Procedural,Conceptual,Factual
"Follow the definitions of the arrays B and C in the description of the method. b. Find, say, B[C[3]] for the example in part (a). ",Conceptual,Factual,Procedural,Conceptual,Factual
Thinking about searching for information should lead to a variety of examples.,Conceptual,Procedural,Factual,Conceptual,Procedural
Follow the insertion algorithm outlined in the section.,Conceptual,Procedural,Procedural,Conceptual,Factual
Compare the definitions of the two techniques.,Factual,Factual,Factual,Conceptual,Procedural
Use a space-for-time trade-off.,Conceptual,Conceptual,Procedural,Conceptual,Procedural
Check whether the proof of the algorithm's correctness is valid for negative edge weights.,Conceptual,Procedural,Factual,Conceptual,Factual
The answer is no. Give a counterexample.,Factual,Procedural,Procedural,Conceptual,Factual
"This is a straightforward question. You may assume that the three elements to be sorted are distinct. (If you need help, see decision trees for the threeelement selection sort and three-element insertion sort in the section.) ",Factual,Procedural,Factual,Conceptual,Factual
This is not an easy task. None of the standard sorting algorithms can do this. Try to design a special algorithm that squeezes as much information as possible from each of its comparisons.,Factual,Factual,Factual,Conceptual,Procedural
This is a very straightforward question. Use the obvious observation that sequential search in a sorted list can be stopped as soon as an element larger than the search key is encountered.,Factual,Procedural,Procedural,Conceptual,Procedural
Use the definitions of the absolute and relative errors and the properties of the absolute value.,Factual,Factual,Conceptual,Conceptual,Procedural
Apply the formula for the area of a trapezoid to each of the n approximating trapezoid strips and sum them up.,Factual,Conceptual,Factual,Conceptual,Procedural
"Use the fact that |xn - x| is the distance between xn, the middle of interval [an, bn], and root x. ",Conceptual,Factual,Procedural,Conceptual,Factual
