Section No.,Level,Section,Page No.
9.7,2,EXPLOITING SOFTWARE,670
9.8,2,INSIDER ATTACKS,688
9.9,2,MALWARE,691
9.10,2,DEFENSES,715
9.11,2,RESEARCH ON SECURITY,734
9.12,2,SUMMARY,735
10,1,"CASE STUDY 1: UNIX, LINUX, AND ANDROID",744
10.1,2,HISTORY OF UNIX AND LINUX,745
10.2,2,OVERVIEW OF LINUX,754
10.3,2,PROCESSES IN LINUX,764
10.4,2,MEMORY MANAGEMENT IN LINUX,784
10.5,2,INPUT/OUTPUT IN LINUX,798
10.6,2,THE LINUX FILE SYSTEM,806
10.7,2,SECURITY IN LINUX,829
10.8,2,ANDROID,833
10.9,2,SUMMARY,880
11,1,CASE STUDY 2: WINDOWS 8,888
11.1,2,HISTORY OF WINDOWS THROUGH WINDOWS 8.1,888
11.2,2,PROGRAMMING WINDOWS,895
11.3,2,SYSTEM STRUCTURE,908
11.4,2,PROCESSES AND THREADS IN WINDOWS,939
11.5,2,MEMORY MANAGEMENT,958
11.6,2,CACHING IN WINDOWS,973
11.7,2,INPUT/OUTPUT IN WINDOWS,974
11.8,2,THE WINDOWS NT FILE SYSTEM,983
11.9,2,WINDOWS POWER MANAGEMENT,995
11.10,2,SECURITY IN WINDOWS 8,997
11.11,2,SUMMARY,1006
12,1,OPERATING SYSTEM DESIGN,1012
12.1,2,THE NATURE OF THE DESIGN PROBLEM,1013
12.2,2,INTERFACE DESIGN,1016
12.3,2,IMPLEMENTATION,1024
12.4,2,PERFORMANCE,1041
12.5,2,PROJECT MANAGEMENT,1049
12.6,2,TRENDS IN OPERATING SYSTEM DESIGN,1053
12.7,2,SUMMARY,1058
13,1,READING LIST AND BIBLIOGRAPHY,1062
13.1,2,SUGGESTIONS FOR FURTHER READING,1062
