Section No.,Level,Section,Page No.
,3,Open Hashing \(Separate Chaining\),270
,3,Closed Hashing \(Open Addressing\),272
7.4,2,B-Trees,276
8,1,Dynamic Programming,283
8.1,2,Three Basic Examples,285
8.2,2,The Knapsack Problem and Memory Functions,292
,3,Memory Functions,294
8.3,2,Optimal Binary Search Trees,297
8.4,2,Warshall's and Floyd's Algorithms,304
,3,Warshall's Algorithm,304
,3,Floyd's Algorithm for the All-Pairs Shortest-Paths Problem,308
9,1,Greedy Technique,315
9.1,2,Prim's Algorithm,318
9.2,2,Kruskal's Algorithm,325
,3,Disjoint Subsets and Union-Find Algorithms,327
9.3,2,Dijkstra's Algorithm,333
9.4,2,Huffman Trees and Codes,338
10,1,Iterative Improvement,345
10.1,2,The Simplex Method,346
,3,Geometric Interpretation of Linear Programming,347
,3,An Outline of the Simplex Method,351
,3,Further Notes on the Simplex Method,357
10.2,2,The Maximum-Flow Problem,361
10.3,2,Maximum Matching in Bipartite Graphs,372
10.4,2,The Stable Marriage Problem,380
11,1,Limitations of Algorithm Power,387
11.1,2,Lower-Bound Arguments,388
,3,Trivial Lower Bounds,389
,3,Information-Theoretic Arguments,390
,3,Adversary Arguments,390
,3,Problem Reduction,391
11.2,2,Decision Trees,394
,3,Decision Trees for Sorting,395
,3,Decision Trees for Searching a Sorted Array,397
11.3,2,"P , NP , and NP-Complete Problems",401
,3,P and NP Problems,402
,3,NP -Complete Problems,406
11.4,2,Challenges of Numerical Algorithms,412
12,1,Coping with the Limitations of Algorithm Power,423
12.1,2,Backtracking,424
,3,n-Queens Problem,425
,3,Hamiltonian Circuit Problem,426
,3,Subset-Sum Problem,427
,3,General Remarks,428
12.2,2,Branch-and-Bound,432
,3,Assignment Problem,433
,3,Knapsack Problem,436
,3,Traveling Salesman Problem,438
12.3,2,Approximation Algorithms for NP -Hard Problems,441
,3,Approximation Algorithms for the Traveling Salesman Problem,443
,3,Approximation Algorithms for the Knapsack Problem,453
12.4,2,Algorithms for Solving Nonlinear Equations,459
,3,Bisection Method,460
,3,Method of False Position,464
,3,Newton's Method,464
[\d]*,-1,Exercises,465
